go	cluster	parent	score	size	term	parentTerm	termUniqueness	termUniquenessWithinCluster	termDispensability	Ont	Tissue
GO:1904031	21	GO:0045737	1.46183546191745	3	positive regulation of cyclin-dependent protein kinase activity	positive regulation of cyclin-dependent protein serine/threonine kinase activity	0.867811764705882	0.4398	0.995	BP	Dentate Gyrus
GO:0050727	1	GO:0006954	1.46183546191745	102	regulation of inflammatory response	inflammatory response	0.794541176470588	0.31825	0.91	BP	Dentate Gyrus
GO:0050731	21	GO:0045737	1.45720796480142	93	positive regulation of peptidyl-tyrosine phosphorylation	positive regulation of cyclin-dependent protein serine/threonine kinase activity	0.866470588235294	0.475	0.661	BP	Dentate Gyrus
GO:0042730	16	GO:0050819	1.40840482381783	21	fibrinolysis	negative regulation of coagulation	0.691294117647059	0.5225	0.955	BP	Dentate Gyrus
GO:0051386	7	GO:0071774	1.40840482381783	2	regulation of neurotrophin TRK receptor signaling pathway	response to fibroblast growth factor	0.849341176470588	0.470142857142857	0.581	BP	Dentate Gyrus
GO:0070278	2	GO:0045229	1.40840482381783	4	extracellular matrix constituent secretion	external encapsulating structure organization	0.935176470588235	0.4185	0.775	BP	Dentate Gyrus
GO:0050776	5	GO:0032102	1.40386603920493	32	regulation of immune response	negative regulation of response to external stimulus	0.832082352941177	0.600555555555556	0.515	BP	Dentate Gyrus
GO:0001990	8	GO:0003073	1.40386603920493	0	regulation of systemic arterial blood pressure by hormone	regulation of systemic arterial blood pressure	0.8448	0.333428571428571	0.951	BP	Dentate Gyrus
GO:0071825	12	GO:0034368	1.40386603920493	0	protein-lipid complex subunit organization	protein-lipid complex remodeling	0.941388235294118	0.3052	0.971	BP	Dentate Gyrus
GO:0050878	13	GO:1900047	1.39202822679485	4	regulation of body fluid levels	negative regulation of hemostasis	0.889870588235294	0.314	0.847	BP	Dentate Gyrus
GO:0051047	3	GO:1904064	1.37909103032894	5	positive regulation of secretion	positive regulation of cation transmembrane transport	0.893388235294118	0.3858	0.753	BP	Dentate Gyrus
GO:0001817	14	GO:0001819	1.3784500467766	64	regulation of cytokine production	positive regulation of cytokine production	0.803235294117647	0.313666666666667	0.927	BP	Dentate Gyrus
GO:0008015	8	GO:0003073	1.37804640506862	32	blood circulation	regulation of systemic arterial blood pressure	0.882658823529412	0.345857142857143	0.819	BP	Dentate Gyrus
GO:1900046	13	GO:1900047	1.3772801875305	1	regulation of hemostasis	negative regulation of hemostasis	0.886529411764706	0.2364	0.976	BP	Dentate Gyrus
GO:0030193	13	GO:1900047	1.3772801875305	10	regulation of blood coagulation	negative regulation of hemostasis	0.690388235294118	0.2364	0.975	BP	Dentate Gyrus
GO:0007586	23	GO:0007586	1.37253337095854	26	digestion	digestion	0.931411764705882	1	0	BP	Dentate Gyrus
GO:0032570	11	GO:0043278	1.36373758692239	33	response to progesterone	response to morphine	0.909941176470588	0.630666666666667	0.554	BP	Dentate Gyrus
GO:2000379	21	GO:0045737	1.34818317634018	31	positive regulation of reactive oxygen species metabolic process	positive regulation of cyclin-dependent protein serine/threonine kinase activity	0.897129411764706	0.6518	0.396	BP	Dentate Gyrus
GO:0052548	4	GO:0051346	1.34818317634018	8	regulation of endopeptidase activity	negative regulation of hydrolase activity	0.878082352941176	0.33675	0.801	BP	Dentate Gyrus
GO:0032611	14	GO:0001819	1.34818317634018	0	interleukin-1 beta production	positive regulation of cytokine production	0.877505882352941	0.306166666666667	0.71	BP	Dentate Gyrus
GO:0032651	14	GO:0001819	1.34818317634018	9	regulation of interleukin-1 beta production	positive regulation of cytokine production	0.832764705882353	0.3055	0.712	BP	Dentate Gyrus
GO:0005539	1	GO:0005539	8.04378926596184	26	glycosaminoglycan binding	glycosaminoglycan binding	0.920730769230769	0.401333333333333	0	MF	Dentate Gyrus
GO:0008201	1	GO:0005539	4.94179838784996	178	heparin binding	glycosaminoglycan binding	0.886884615384615	0.409666666666667	0.962	MF	Dentate Gyrus
GO:0004888	2	GO:0004888	3.99360716841691	155	transmembrane signaling receptor activity	transmembrane signaling receptor activity	0.966115384615385	0.5595	0	MF	Dentate Gyrus
GO:0030546	3	GO:0030546	3.99360716841691	3	signaling receptor activator activity	signaling receptor activator activity	0.776	0.352888888888889	0	MF	Dentate Gyrus
GO:0048018	3	GO:0030546	3.79965467489585	67	receptor ligand activity	signaling receptor activator activity	0.757076923076923	0.353777777777778	0.987	MF	Dentate Gyrus
GO:0030545	3	GO:0030546	3.43825680989174	4	signaling receptor regulator activity	signaling receptor activator activity	0.775807692307692	0.352333333333333	0.981	MF	Dentate Gyrus
GO:0005201	4	GO:0005201	2.94717576087428	172	extracellular matrix structural constituent	extracellular matrix structural constituent	0.965961538461538	0.5575	0	MF	Dentate Gyrus
GO:0004930	2	GO:0004888	2.53037587980349	685	G protein-coupled receptor activity	transmembrane signaling receptor activity	0.966115384615385	0.5595	0.881	MF	Dentate Gyrus
GO:0008083	3	GO:0030546	2.34394292439799	180	growth factor activity	signaling receptor activator activity	0.784846153846154	0.427222222222222	0.847	MF	Dentate Gyrus
GO:0019838	5	GO:0019838	2.3107309582567	37	growth factor binding	growth factor binding	0.978038461538462	1	0	MF	Dentate Gyrus
GO:1901681	6	GO:1901681	2.15191944127102	0	sulfur compound binding	sulfur compound binding	0.952153846153846	1	0	MF	Dentate Gyrus
GO:0005540	1	GO:0005539	2.04395402112272	29	hyaluronic acid binding	glycosaminoglycan binding	0.928269230769231	0.452333333333333	0.834	MF	Dentate Gyrus
GO:0061135	3	GO:0030546	1.81809375595896	1	endopeptidase regulator activity	signaling receptor activator activity	0.772923076923077	0.344	0.604	MF	Dentate Gyrus
GO:0004866	3	GO:0030546	1.81809375595896	39	endopeptidase inhibitor activity	signaling receptor activator activity	0.762615384615385	0.314222222222222	0.6	MF	Dentate Gyrus
GO:0001228	7	GO:0001228	1.8008650616917	533	DNA-binding transcription activator activity, RNA polymerase II-specific	DNA-binding transcription activator activity, RNA polymerase II-specific	0.961884615384615	0.5045	0	MF	Dentate Gyrus
GO:0001216	7	GO:0001228	1.78220685715321	15	DNA-binding transcription activator activity	DNA-binding transcription activator activity, RNA polymerase II-specific	0.961884615384615	0.5045	0.991	MF	Dentate Gyrus
GO:0030414	3	GO:0030546	1.78220685715321	15	peptidase inhibitor activity	signaling receptor activator activity	0.763192307692308	0.315888888888889	0.604	MF	Dentate Gyrus
GO:0050840	8	GO:0050840	1.70800603956641	30	extracellular matrix binding	extracellular matrix binding	0.988653846153846	1	0	MF	Dentate Gyrus
GO:0008330	9	GO:0008330	1.66177446769717	12	protein tyrosine/threonine phosphatase activity	protein tyrosine/threonine phosphatase activity	0.977346153846154	0.7055	0	MF	Dentate Gyrus
GO:0004867	3	GO:0030546	1.66177446769717	118	serine-type endopeptidase inhibitor activity	signaling receptor activator activity	0.775576923076923	0.351666666666667	0.559	MF	Dentate Gyrus
GO:0071814	10	GO:0071814	1.56424130433712	0	protein-lipid complex binding	protein-lipid complex binding	0.9515	0.5005	0	MF	Dentate Gyrus
GO:0071813	10	GO:0071814	1.56424130433712	7	lipoprotein particle binding	protein-lipid complex binding	0.9515	0.5005	0.999	MF	Dentate Gyrus
GO:0030020	4	GO:0005201	1.5389222937037	76	extracellular matrix structural constituent conferring tensile strength	extracellular matrix structural constituent	0.965961538461538	0.5575	0.885	MF	Dentate Gyrus
GO:0017017	9	GO:0008330	1.39948352805094	16	MAP kinase tyrosine/serine/threonine phosphatase activity	protein tyrosine/threonine phosphatase activity	0.977346153846154	0.7055	0.589	MF	Dentate Gyrus
GO:0019955	11	GO:0019955	1.3884254637584	45	cytokine binding	cytokine binding	0.978153846153846	1	0	MF	Dentate Gyrus
GO:0004857	3	GO:0030546	1.34726197906019	39	enzyme inhibitor activity	signaling receptor activator activity	0.772846153846154	0.343777777777778	0.642	MF	Dentate Gyrus
GO:0031012	1	GO:0031012	8.93299797167092	240	extracellular matrix	extracellular matrix	0.54	0.351	0	CC	Dentate Gyrus
GO:0030312	1	GO:0031012	8.93299797167092	0	external encapsulating structure	extracellular matrix	0.54	0.351	0.991	CC	Dentate Gyrus
GO:0062023	1	GO:0031012	8.4173724216439	480	collagen-containing extracellular matrix	extracellular matrix	0.5492	0.362666666666667	0.956	CC	Dentate Gyrus
GO:0009986	2	GO:0009986	2.31228848179466	722	cell surface	cell surface	0.8212	0.553	0	CC	Dentate Gyrus
GO:0009897	2	GO:0009986	1.45303558340967	454	external side of plasma membrane	cell surface	0.6116	0.553	0.894	CC	Dentate Gyrus
GO:0045087	1	GO:0045087	3.72958940694808	527	innate immune response	innate immune response	0.698421568627451	0.370428571428571	0	BP	DLPFC
GO:0006954	3	GO:0006954	3.55701810755274	419	inflammatory response	inflammatory response	0.902107843137255	0.485666666666667	0	BP	DLPFC
GO:0001816	2	GO:0001816	3.55701810755274	7	cytokine production	cytokine production	0.811794117647059	0.269952380952381	0	BP	DLPFC
GO:0001817	2	GO:0001816	3.55701810755274	64	regulation of cytokine production	cytokine production	0.760127450980392	0.269142857142857	0.985	BP	DLPFC
GO:0001819	2	GO:0001816	3.51164216268554	66	positive regulation of cytokine production	cytokine production	0.731862745098039	0.279428571428571	0.925	BP	DLPFC
GO:0002250	4	GO:0002250	3.2911866523793	434	adaptive immune response	adaptive immune response	0.748794117647059	0.428866666666667	0	BP	DLPFC
GO:0002252	4	GO:0002250	3.2911866523793	0	immune effector process	adaptive immune response	0.759352941176471	0.379433333333333	0.564	BP	DLPFC
GO:0050776	4	GO:0002250	2.79780674620472	32	regulation of immune response	adaptive immune response	0.674490196078431	0.373566666666667	0.727	BP	DLPFC
GO:0002478	4	GO:0002250	2.72838299678766	0	antigen processing and presentation of exogenous peptide antigen	adaptive immune response	0.810588235294118	0.510266666666667	0.429	BP	DLPFC
GO:0002443	4	GO:0002250	2.72388211688765	1	leukocyte mediated immunity	adaptive immune response	0.763470588235294	0.389966666666667	0.53	BP	DLPFC
GO:0050778	4	GO:0002250	2.62408883541775	20	positive regulation of immune response	adaptive immune response	0.651558823529412	0.371966666666667	0.707	BP	DLPFC
GO:0032640	2	GO:0001816	2.62408883541775	0	tumor necrosis factor production	cytokine production	0.826088235294118	0.307428571428571	0.779	BP	DLPFC
GO:0032680	2	GO:0001816	2.62408883541775	12	regulation of tumor necrosis factor production	cytokine production	0.783421568627451	0.306428571428571	0.779	BP	DLPFC
GO:0002460	4	GO:0002250	2.55466799677891	0	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	adaptive immune response	0.757754901960784	0.444333333333333	0.934	BP	DLPFC
GO:0071706	2	GO:0001816	2.55466799677891	0	tumor necrosis factor superfamily cytokine production	cytokine production	0.825696078431372	0.306095238095238	0.781	BP	DLPFC
GO:1903555	2	GO:0001816	2.55466799677891	0	regulation of tumor necrosis factor superfamily cytokine production	cytokine production	0.782843137254902	0.304952380952381	0.781	BP	DLPFC
GO:0019884	4	GO:0002250	2.54040469239198	2	antigen processing and presentation of exogenous antigen	adaptive immune response	0.810186274509804	0.509066666666667	0.434	BP	DLPFC
GO:0032602	2	GO:0001816	2.54040469239198	1	chemokine production	cytokine production	0.833637254901961	0.339	0.747	BP	DLPFC
GO:0032642	2	GO:0001816	2.54040469239198	4	regulation of chemokine production	cytokine production	0.792509803921569	0.338142857142857	0.746	BP	DLPFC
GO:0048002	4	GO:0002250	2.40720081543991	3	antigen processing and presentation of peptide antigen	adaptive immune response	0.79906862745098	0.483233333333333	0.468	BP	DLPFC
GO:0032102	5	GO:0032102	2.40720081543991	0	negative regulation of response to external stimulus	negative regulation of response to external stimulus	0.825803921568627	0.4792	0	BP	DLPFC
GO:0002683	4	GO:0002250	2.40720081543991	1	negative regulation of immune system process	adaptive immune response	0.736823529411765	0.458666666666667	0.542	BP	DLPFC
GO:0002449	4	GO:0002250	2.40720081543991	0	lymphocyte mediated immunity	adaptive immune response	0.76656862745098	0.396733333333333	0.517	BP	DLPFC
GO:0006956	4	GO:0002250	2.38395869102811	29	complement activation	adaptive immune response	0.675205882352941	0.3688	0.571	BP	DLPFC
GO:0072567	2	GO:0001816	2.31407145069608	0	chemokine (C-X-C motif) ligand 2 production	cytokine production	0.851264705882353	0.406380952380952	0.637	BP	DLPFC
GO:2000341	2	GO:0001816	2.31407145069608	3	regulation of chemokine (C-X-C motif) ligand 2 production	cytokine production	0.81528431372549	0.405333333333333	0.637	BP	DLPFC
GO:0032760	2	GO:0001816	2.30680286030052	114	positive regulation of tumor necrosis factor production	cytokine production	0.759754901960784	0.315714285714286	0.737	BP	DLPFC
GO:0002697	4	GO:0002250	2.26634729127477	0	regulation of immune effector process	adaptive immune response	0.717362745098039	0.358333333333333	0.531	BP	DLPFC
GO:1903557	2	GO:0001816	2.20934794690401	0	positive regulation of tumor necrosis factor superfamily cytokine production	cytokine production	0.758882352941177	0.313571428571429	0.74	BP	DLPFC
GO:0035082	6	GO:0035082	2.04091429790289	32	axoneme assembly	axoneme assembly	0.956382352941177	0.5185	0	BP	DLPFC
GO:0032729	2	GO:0001816	2.04041173977372	90	positive regulation of type II interferon production	cytokine production	0.772333333333333	0.368571428571429	0.722	BP	DLPFC
GO:0150146	7	GO:0150146	2.00540077814486	0	cell junction disassembly	cell junction disassembly	0.975401960784314	1	0	BP	DLPFC
GO:0031347	3	GO:0006954	1.91295094194998	0	regulation of defense response	inflammatory response	0.830176470588235	0.553666666666667	0.74	BP	DLPFC
GO:0002504	4	GO:0002250	1.91295094194998	1	antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	adaptive immune response	0.808470588235294	0.504966666666667	0.439	BP	DLPFC
GO:0002699	4	GO:0002250	1.91295094194998	0	positive regulation of immune effector process	adaptive immune response	0.699205882352941	0.367466666666667	0.51	BP	DLPFC
GO:0002526	3	GO:0006954	1.88974287943887	18	acute inflammatory response	inflammatory response	0.917352941176471	0.532666666666667	0.803	BP	DLPFC
GO:0060285	8	GO:0060285	1.83951002460052	15	cilium-dependent cell motility	cilium-dependent cell motility	0.984421568627451	0.5005	0	BP	DLPFC
GO:0001539	8	GO:0060285	1.83951002460052	0	cilium or flagellum-dependent cell motility	cilium-dependent cell motility	0.984421568627451	0.5005	0.999	BP	DLPFC
GO:0002831	1	GO:0045087	1.81245323945264	0	regulation of response to biotic stimulus	innate immune response	0.835088235294118	0.318714285714286	0.749	BP	DLPFC
GO:0032606	2	GO:0001816	1.78862628007786	0	type I interferon production	cytokine production	0.839254901960784	0.367809523809524	0.756	BP	DLPFC
GO:0032479	2	GO:0001816	1.78862628007786	9	regulation of type I interferon production	cytokine production	0.797539215686275	0.366428571428571	0.756	BP	DLPFC
GO:0043062	6	GO:0035082	1.78490706355408	1	extracellular structure organization	axoneme assembly	0.964617647058824	0.619166666666667	0.318	BP	DLPFC
GO:0030198	6	GO:0035082	1.78490706355408	161	extracellular matrix organization	axoneme assembly	0.958225490196078	0.5105	0.318	BP	DLPFC
GO:0035886	9	GO:0035886	1.78490706355408	3	vascular associated smooth muscle cell differentiation	vascular associated smooth muscle cell differentiation	0.913098039215686	0.4158	0	BP	DLPFC
GO:0032609	2	GO:0001816	1.78490706355408	0	type II interferon production	cytokine production	0.840088235294118	0.370809523809524	0.75	BP	DLPFC
GO:0032649	2	GO:0001816	1.78490706355408	5	regulation of type II interferon production	cytokine production	0.798705882352941	0.369571428571429	0.75	BP	DLPFC
GO:0045229	6	GO:0035082	1.76494668919287	0	external encapsulating structure organization	axoneme assembly	0.964617647058824	0.619166666666667	0.318	BP	DLPFC
GO:0007340	10	GO:0007340	1.73457974998309	19	acrosome reaction	acrosome reaction	1	1	0	BP	DLPFC
GO:0007584	5	GO:0032102	1.73457974998309	56	response to nutrient	negative regulation of response to external stimulus	0.906362745098039	0.545	0.49	BP	DLPFC
GO:0016064	4	GO:0002250	1.73457974998309	20	immunoglobulin mediated immune response	adaptive immune response	0.735	0.3737	0.859	BP	DLPFC
GO:0019724	4	GO:0002250	1.73457974998309	4	B cell mediated immunity	adaptive immune response	0.734421568627451	0.3724	0.862	BP	DLPFC
GO:0002224	1	GO:0045087	1.73457974998309	31	toll-like receptor signaling pathway	innate immune response	0.665774509803922	0.363428571428571	0.763	BP	DLPFC
GO:0050922	5	GO:0032102	1.71780844642591	4	negative regulation of chemotaxis	negative regulation of response to external stimulus	0.844558823529412	0.5266	0.841	BP	DLPFC
GO:0050867	11	GO:0050867	1.71297669832405	3	positive regulation of cell activation	positive regulation of cell activation	0.78778431372549	0.38525	0	BP	DLPFC
GO:0002221	4	GO:0002250	1.70567466179779	13	pattern recognition receptor signaling pathway	adaptive immune response	0.63328431372549	0.4223	0.624	BP	DLPFC
GO:0002764	4	GO:0002250	1.70457859616061	1	immune response-regulating signaling pathway	adaptive immune response	0.686392156862745	0.4092	0.672	BP	DLPFC
GO:0019882	4	GO:0002250	1.70147002919661	24	antigen processing and presentation	adaptive immune response	0.795774509803922	0.474966666666667	0.482	BP	DLPFC
GO:0033273	5	GO:0032102	1.6963962445329	1	response to vitamin	negative regulation of response to external stimulus	0.909637254901961	0.5548	0.47	BP	DLPFC
GO:0034142	1	GO:0045087	1.6963962445329	19	toll-like receptor 4 signaling pathway	innate immune response	0.681039215686275	0.388857142857143	0.723	BP	DLPFC
GO:0031341	12	GO:0031341	1.6963962445329	0	regulation of cell killing	regulation of cell killing	0.923480392156863	0.2695	0	BP	DLPFC
GO:0070663	13	GO:0070663	1.6963962445329	2	regulation of leukocyte proliferation	regulation of leukocyte proliferation	0.906254901960784	0.238833333333333	0	BP	DLPFC
GO:1904018	9	GO:0035886	1.6865824290381	1	positive regulation of vasculature development	vascular associated smooth muscle cell differentiation	0.802627450980392	0.3942	0.622	BP	DLPFC
GO:0045766	9	GO:0035886	1.6865824290381	178	positive regulation of angiogenesis	vascular associated smooth muscle cell differentiation	0.802529411764706	0.3914	0.621	BP	DLPFC
GO:0032722	2	GO:0001816	1.6865824290381	44	positive regulation of chemokine production	cytokine production	0.766098039215686	0.337095238095238	0.72	BP	DLPFC
GO:0019886	4	GO:0002250	1.67812437439332	41	antigen processing and presentation of exogenous peptide antigen via MHC class II	adaptive immune response	0.811274509803922	0.510033333333333	0.42	BP	DLPFC
GO:0006958	4	GO:0002250	1.67812437439332	33	complement activation, classical pathway	adaptive immune response	0.680735294117647	0.359333333333333	0.763	BP	DLPFC
GO:1905954	14	GO:1905954	1.6675851405547	0	positive regulation of lipid localization	positive regulation of lipid localization	0.917892156862745	1	0	BP	DLPFC
GO:0042730	5	GO:0032102	1.66742745828679	21	fibrinolysis	negative regulation of response to external stimulus	0.766686274509804	0.5412	0.803	BP	DLPFC
GO:0032944	13	GO:0070663	1.65810125851218	0	regulation of mononuclear cell proliferation	regulation of leukocyte proliferation	0.90671568627451	0.240833333333333	0.99	BP	DLPFC
GO:0009617	1	GO:0045087	1.6547437177143	116	response to bacterium	innate immune response	0.889950980392157	0.443428571428571	0.777	BP	DLPFC
GO:0002253	4	GO:0002250	1.64950419991588	2	activation of immune response	adaptive immune response	0.659019607843137	0.3833	0.681	BP	DLPFC
GO:0032481	2	GO:0001816	1.64950419991588	25	positive regulation of type I interferon production	cytokine production	0.7705	0.364142857142857	0.729	BP	DLPFC
GO:0070665	13	GO:0070663	1.64950419991588	6	positive regulation of leukocyte proliferation	regulation of leukocyte proliferation	0.869205882352941	0.265166666666667	0.954	BP	DLPFC
GO:0001578	6	GO:0035082	1.63768758820003	38	microtubule bundle formation	axoneme assembly	0.959392156862745	0.518666666666667	0.983	BP	DLPFC
GO:0035456	15	GO:0035456	1.60666105911243	14	response to interferon-beta	response to interferon-beta	0.942294117647059	1	0	BP	DLPFC
GO:0001912	12	GO:0031341	1.60122808642193	1	positive regulation of leukocyte mediated cytotoxicity	regulation of cell killing	0.699872549019608	0.26775	0.963	BP	DLPFC
GO:0009593	17	GO:0009593	1.55492463772381	1	detection of chemical stimulus	detection of chemical stimulus	0.922960784313726	0.5315	0	BP	DLPFC
GO:0002501	16	GO:0002501	1.55492463772381	0	peptide antigen assembly with MHC protein complex	peptide antigen assembly with MHC protein complex	0.788441176470588	0.5045	0	BP	DLPFC
GO:0002396	16	GO:0002501	1.55492463772381	0	MHC protein complex assembly	peptide antigen assembly with MHC protein complex	0.963990196078431	0.5045	0.991	BP	DLPFC
GO:0030449	4	GO:0002250	1.55492463772381	8	regulation of complement activation	adaptive immune response	0.696735294117647	0.408466666666667	0.518	BP	DLPFC
GO:0006959	4	GO:0002250	1.55374247497334	60	humoral immune response	adaptive immune response	0.764019607843137	0.461	0.63	BP	DLPFC
GO:0031343	12	GO:0031341	1.54417414863039	1	positive regulation of cell killing	regulation of cell killing	0.887852941176471	0.269	0.969	BP	DLPFC
GO:0050906	17	GO:0009593	1.5382859852282	2	detection of stimulus involved in sensory perception	detection of chemical stimulus	0.864735294117647	0.5315	0.937	BP	DLPFC
GO:1903707	4	GO:0002250	1.5382859852282	2	negative regulation of hemopoiesis	adaptive immune response	0.677519607843137	0.5261	0.464	BP	DLPFC
GO:0002495	4	GO:0002250	1.5382859852282	3	antigen processing and presentation of peptide antigen via MHC class II	adaptive immune response	0.807598039215686	0.503	0.438	BP	DLPFC
GO:0002720	4	GO:0002250	1.53802712136276	14	positive regulation of cytokine production involved in immune response	adaptive immune response	0.583019607843137	0.4236	0.557	BP	DLPFC
GO:0002705	4	GO:0002250	1.53802712136276	0	positive regulation of leukocyte mediated immunity	adaptive immune response	0.705529411764706	0.3764	0.483	BP	DLPFC
GO:0001910	12	GO:0031341	1.5253302143102	1	regulation of leukocyte mediated cytotoxicity	regulation of cell killing	0.716892156862745	0.26925	0.99	BP	DLPFC
GO:0070661	13	GO:0070663	1.51634067672784	2	leukocyte proliferation	regulation of leukocyte proliferation	0.951137254901961	0.259333333333333	0.966	BP	DLPFC
GO:0042116	11	GO:0050867	1.5114328424041	20	macrophage activation	positive regulation of cell activation	0.767803921568627	0.524	0.661	BP	DLPFC
GO:0070286	6	GO:0035082	1.5034010623849	20	axonemal dynein complex assembly	axoneme assembly	0.955901960784314	0.534333333333333	0.952	BP	DLPFC
GO:0001818	2	GO:0001816	1.47783668606976	33	negative regulation of cytokine production	cytokine production	0.765549019607843	0.331333333333333	0.874	BP	DLPFC
GO:0050670	13	GO:0070663	1.38421266038188	0	regulation of lymphocyte proliferation	regulation of leukocyte proliferation	0.632764705882353	0.241666666666667	0.988	BP	DLPFC
GO:0031295	11	GO:0050867	1.38116519570172	42	T cell costimulation	positive regulation of cell activation	0.692509803921569	0.455	0.806	BP	DLPFC
GO:0002455	4	GO:0002250	1.38116519570172	4	humoral immune response mediated by circulating immunoglobulin	adaptive immune response	0.749254901960784	0.399	0.778	BP	DLPFC
GO:0001568	9	GO:0035886	1.38116519570172	41	blood vessel development	vascular associated smooth muscle cell differentiation	0.900627450980392	0.3938	0.712	BP	DLPFC
GO:0045824	1	GO:0045087	1.36289533385984	24	negative regulation of innate immune response	innate immune response	0.688598039215686	0.348	0.754	BP	DLPFC
GO:0032026	18	GO:0032026	1.34427550034966	12	response to magnesium ion	response to magnesium ion	0.944627450980392	1	0	BP	DLPFC
GO:0050678	13	GO:0070663	1.34427550034966	18	regulation of epithelial cell proliferation	regulation of leukocyte proliferation	0.917627450980392	0.454166666666667	0.669	BP	DLPFC
GO:1905063	9	GO:0035886	1.34427550034966	0	regulation of vascular associated smooth muscle cell differentiation	vascular associated smooth muscle cell differentiation	0.891637254901961	0.4312	0.966	BP	DLPFC
GO:0002696	11	GO:0050867	1.34427550034966	0	positive regulation of leukocyte activation	positive regulation of cell activation	0.628970588235294	0.37975	0.992	BP	DLPFC
GO:0002832	1	GO:0045087	1.34410685524982	0	negative regulation of response to biotic stimulus	innate immune response	0.840794117647059	0.355142857142857	0.641	BP	DLPFC
GO:0019838	2	GO:0019838	3.04987879246346	37	growth factor binding	growth factor binding	0.954857142857143	1	0	MF	DLPFC
GO:0004888	1	GO:0004888	3.04987879246346	155	transmembrane signaling receptor activity	transmembrane signaling receptor activity	1	1	0	MF	DLPFC
GO:0030020	4	GO:0030020	2.09495381509011	76	extracellular matrix structural constituent conferring tensile strength	extracellular matrix structural constituent conferring tensile strength	0.936785714285714	0.5575	0	MF	DLPFC
GO:0030545	3	GO:0030545	2.09495381509011	4	signaling receptor regulator activity	signaling receptor regulator activity	0.860071428571429	0.347	0	MF	DLPFC
GO:0023023	5	GO:0023023	1.90637640836761	0	MHC protein complex binding	MHC protein complex binding	0.915642857142857	0.5085	0	MF	DLPFC
GO:0030546	3	GO:0030545	1.86583422850224	3	signaling receptor activator activity	signaling receptor regulator activity	0.859428571428571	0.344	0.981	MF	DLPFC
GO:0005201	4	GO:0030020	1.77393209854157	172	extracellular matrix structural constituent	extracellular matrix structural constituent conferring tensile strength	0.936785714285714	0.5575	0.885	MF	DLPFC
GO:0030246	6	GO:0030246	1.73529348661546	181	carbohydrate binding	carbohydrate binding	0.981642857142857	1	0	MF	DLPFC
GO:0048018	3	GO:0030545	1.73529348661546	67	receptor ligand activity	signaling receptor regulator activity	0.810428571428572	0.345	0.978	MF	DLPFC
GO:0001848	7	GO:0001848	1.68461452596811	6	complement binding	complement binding	0.959857142857143	1	0	MF	DLPFC
GO:0023026	5	GO:0023023	1.68461452596811	33	MHC class II protein complex binding	MHC protein complex binding	0.915857142857143	0.5085	0.983	MF	DLPFC
GO:0043394	8	GO:0043394	1.63811237205835	15	proteoglycan binding	proteoglycan binding	0.959285714285714	1	0	MF	DLPFC
GO:0019955	9	GO:0019955	1.63811237205835	45	cytokine binding	cytokine binding	0.899714285714286	0.5625	0	MF	DLPFC
GO:0019956	9	GO:0019955	1.44349963390345	5	chemokine binding	cytokine binding	0.904214285714286	0.5625	0.875	MF	DLPFC
GO:0031012	1	GO:0031012	6.27450428232419	240	extracellular matrix	extracellular matrix	0.7845	0.351	0	CC	DLPFC
GO:0030312	1	GO:0031012	6.27450428232419	0	external encapsulating structure	extracellular matrix	0.7845	0.351	0.991	CC	DLPFC
GO:0009986	3	GO:0009986	5.46497861758332	722	cell surface	cell surface	0.9255	1	0	CC	DLPFC
GO:0009897	2	GO:0009897	5.46497861758332	454	external side of plasma membrane	external side of plasma membrane	0.702	0.526	0	CC	DLPFC
GO:0062023	1	GO:0031012	4.40670355629252	480	collagen-containing extracellular matrix	extracellular matrix	0.789	0.362666666666667	0.956	CC	DLPFC
GO:0098552	2	GO:0009897	3.53282815008503	0	side of membrane	external side of plasma membrane	0.872083333333333	0.526	0.948	CC	DLPFC
GO:0042611	5	GO:0042611	3.31557669874126	0	MHC protein complex	MHC protein complex	0.81925	1	0	CC	DLPFC
GO:0005581	4	GO:0005581	3.31557669874126	60	collagen trimer	collagen trimer	0.953833333333333	0.846	0	CC	DLPFC
GO:0072562	6	GO:0072562	1.87212984013033	141	blood microparticle	blood microparticle	1	1	0	CC	DLPFC
GO:0043235	4	GO:0005581	1.87212984013033	248	receptor complex	collagen trimer	0.950666666666667	0.846	0.308	CC	DLPFC
GO:0030667	7	GO:0030667	1.63639742255244	105	secretory granule membrane	secretory granule membrane	0.89625	0.67	0	CC	DLPFC
GO:0030666	7	GO:0030667	1.59730954064534	71	endocytic vesicle membrane	secretory granule membrane	0.899083333333333	0.67	0.66	CC	DLPFC
GO:0009617	1	GO:0009617	3.00982438558431	116	response to bacterium	response to bacterium	0.826845070422535	0.336166666666667	0	BP	Hippocampus
GO:0006954	3	GO:0006954	2.53643836018126	419	inflammatory response	inflammatory response	0.903901408450704	1	0	BP	Hippocampus
GO:0045087	4	GO:0045087	2.53643836018126	527	innate immune response	innate immune response	0.671732394366197	0.446363636363636	0	BP	Hippocampus
GO:0001578	2	GO:0001578	2.53643836018126	38	microtubule bundle formation	microtubule bundle formation	0.965760563380282	0.4395	0	BP	Hippocampus
