Tissue	Group	OR	P-value	FDR	Direction	State	Response
Hippocampus	MG5.late	2.103481707005936	0.0974301583869012	0.27509691779830925	Increased in AA	MG5	late
Hippocampus	MG8.early	2.2607233733187933	0.22727300753709823	0.4677161602368979	Increased in AA	MG8	early
Hippocampus	MG0.late	0.4481441245699801	0.7298087230973718	0.9867836255964463	Increased in AA	MG0	late
Hippocampus	MG12.early	0.0	1.0	1.0	Increased in AA	MG12	early
Hippocampus	MG6.late	0.7007009279491473	1.0	1.0	Increased in AA	MG6	late
Hippocampus	MG0.early	1.7218112685793294	0.44557313988875513	0.7250003632088219	Increased in AA	MG0	early
Hippocampus	MG3.late	0.45030654756490257	0.7295370255337281	0.9867836255964463	Increased in AA	MG3	late
Hippocampus	MG10.early	1.7486778083350962	0.2520476646588717	0.4839315161450336	Increased in AA	MG10	early
Hippocampus	MG8.late	1.2216695395222852	0.6813150491621166	0.947916590138597	Increased in AA	MG8	late
Hippocampus	MG4.early	0.821491155562903	1.0	1.0	Increased in AA	MG4	early
Hippocampus	MG1.late	0.7206919571590282	1.0	1.0	Increased in AA	MG1	late
Hippocampus	MG5.early	2.2880529752598178	0.22342015630436024	0.4677161602368979	Increased in AA	MG5	early
Hippocampus	MG6.early	0.6656596444852049	0.7734920299490536	1.0	Increased in AA	MG6	early
Hippocampus	MG10.late	1.6492532359774312	0.34681211376700694	0.6165548689191235	Increased in AA	MG10	late
Hippocampus	MG12.late	1.5541859592041045	0.3731892641058087	0.6513848973483207	Increased in AA	MG12	late
Hippocampus	MG4.late	1.4302547218852886	0.472832165260764	0.7524304847378145	Increased in AA	MG4	late
