GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items	Log10	Tissue	geneRatio
GO:0005737	CC	e	cytoplasm	172/602	4681/29107	3.900354888720736e-06	2	172	0.001340957383546025	16.0, 395.0, 984.0, 1051.0, 1122.0, 1270.0, 1428.0, 1847.0, 1849.0, 1947.0, 1952.0, 1996.0, 2070.0, 2078.0, 2822.0, 2835.0, 2932.0, 2934.0, 3038.0, 3145.0, 3150.0, 3176.0, 3360.0, 3659.0, 3845.0, 3985.0, 3987.0, 3993.0, 4130.0, 4478.0, 4735.0, 4744.0, 4791.0, 4904.0, 5121.0, 5291.0, 5295.0, 5327.0, 5341.0, 5532.0, 5569.0, 5634.0, 5718.0, 5723.0, 5905.0, 5978.0, 6175.0, 6196.0, 6205.0, 6257.0, 6446.0, 6548.0, 6659.0, 6812.0, 6904.0, 6992.0, 7332.0, 7399.0, 7465.0, 7802.0, 7846.0, 8036.0, 8408.0, 8480.0, 8565.0, 8567.0, 8675.0, 8777.0, 8835.0, 8863.0, 8888.0, 8935.0, 8994.0, 9099.0, 9217.0, 9306.0, 9446.0, 9520.0, 9590.0, 9600.0, 10011.0, 10014.0, 10084.0, 10120.0, 10157.0, 10212.0, 10254.0, 10392.0, 10592.0, 10658.0, 10667.0, 10753.0, 10766.0, 10782.0, 10818.0, 11322.0, 23089.0, 23205.0, 23369.0, 23499.0, 23596.0, 23625.0, 23677.0, 24140.0, 25893.0, 25974.0, 25999.0, 26258.0, 26292.0, 26471.0, 26993.0, 26999.0, 27065.0, 27106.0, 29780.0, 29995.0, 30833.0, 30851.0, 51154.0, 51247.0, 51493.0, 51608.0, 54472.0, 54625.0, 54715.0, 54873.0, 55128.0, 55139.0, 55256.0, 55755.0, 55843.0, 56603.0, 57449.0, 57522.0, 57716.0, 57731.0, 57787.0, 64151.0, 65979.0, 79142.0, 80206.0, 80210.0, 80212.0, 80833.0, 81786.0, 81848.0, 83933.0, 84230.0, 84268.0, 84271.0, 84457.0, 84630.0, 84660.0, 84944.0, 85443.0, 90678.0, 113878.0, 114804.0, 115811.0, 121512.0, 122622.0, 126820.0, 127281.0, 143689.0, 147660.0, 149428.0, 160851.0, 221178.0, 252969.0, 340527.0, 374969.0, 445571.0	2.872585024075989	DLPFC	0.5714285714285714
GO:0005829	CC	e	cytosol	190/602	5294/29107	4.001387117054617e-06	2	190	0.001340957383546025	16.0, 119.0, 160.0, 226.0, 395.0, 547.0, 582.0, 1036.0, 1122.0, 1428.0, 1630.0, 1635.0, 1849.0, 1982.0, 1996.0, 2139.0, 2821.0, 2875.0, 2932.0, 2934.0, 3145.0, 3176.0, 3184.0, 3659.0, 3845.0, 3987.0, 3993.0, 4000.0, 4130.0, 4131.0, 4204.0, 4332.0, 4343.0, 4478.0, 4776.0, 4791.0, 4837.0, 4904.0, 5121.0, 5130.0, 5291.0, 5295.0, 5341.0, 5447.0, 5475.0, 5494.0, 5532.0, 5604.0, 5606.0, 5718.0, 5723.0, 5905.0, 5978.0, 6175.0, 6196.0, 6205.0, 6272.0, 6446.0, 6499.0, 6810.0, 6812.0, 7332.0, 7846.0, 8030.0, 8036.0, 8237.0, 8349.0, 8408.0, 8497.0, 8565.0, 8567.0, 8609.0, 8663.0, 8675.0, 8835.0, 8867.0, 8888.0, 8935.0, 8994.0, 9066.0, 9296.0, 9306.0, 9446.0, 9520.0, 9590.0, 9600.0, 9735.0, 9765.0, 9814.0, 9912.0, 9919.0, 10011.0, 10014.0, 10019.0, 10120.0, 10157.0, 10254.0, 10392.0, 10592.0, 10625.0, 10766.0, 10818.0, 11332.0, 11343.0, 11346.0, 22898.0, 23054.0, 23057.0, 23076.0, 23089.0, 23205.0, 23369.0, 24140.0, 25974.0, 25999.0, 26258.0, 26999.0, 27229.0, 27338.0, 29127.0, 29780.0, 29801.0, 30833.0, 30851.0, 51005.0, 51399.0, 51474.0, 51493.0, 51608.0, 54458.0, 54472.0, 54620.0, 54625.0, 55128.0, 55256.0, 55755.0, 55843.0, 56171.0, 56992.0, 57082.0, 57097.0, 57449.0, 57522.0, 57572.0, 57704.0, 57731.0, 57787.0, 64151.0, 79784.0, 79969.0, 80097.0, 80162.0, 81848.0, 83696.0, 84079.0, 84172.0, 84271.0, 84612.0, 84618.0, 84630.0, 85004.0, 90353.0, 90678.0, 91039.0, 92689.0, 112755.0, 121512.0, 122622.0, 126567.0, 127281.0, 129401.0, 133522.0, 140545.0, 147179.0, 147699.0, 148281.0, 149428.0, 150726.0, 152137.0, 200894.0, 202333.0, 203245.0, 221178.0, 221692.0, 340602.0, 387893.0, 440050.0, 440073.0, 727800.0, 729438.0	2.872585024075989	DLPFC	0.6312292358803987
GO:0005654	CC	e	nucleoplasm	128/602	3805/29107	4.060979381258522e-06	2	128	0.001340957383546025	275.0, 1051.0, 1052.0, 1122.0, 1847.0, 1849.0, 2073.0, 2139.0, 2178.0, 2821.0, 2932.0, 2968.0, 3150.0, 3176.0, 3184.0, 3659.0, 3981.0, 4000.0, 4204.0, 4331.0, 4332.0, 4335.0, 4735.0, 4791.0, 4904.0, 5291.0, 5494.0, 5532.0, 5606.0, 5718.0, 5905.0, 5978.0, 6196.0, 6205.0, 6257.0, 6446.0, 6548.0, 6659.0, 6812.0, 6880.0, 7332.0, 7465.0, 7767.0, 8036.0, 8237.0, 8349.0, 8448.0, 8480.0, 8609.0, 8812.0, 8888.0, 8935.0, 8994.0, 9099.0, 9446.0, 10011.0, 10014.0, 10084.0, 10102.0, 10128.0, 10212.0, 10254.0, 10592.0, 10625.0, 10658.0, 11332.0, 11343.0, 22843.0, 22893.0, 23054.0, 23076.0, 23089.0, 23135.0, 26292.0, 26471.0, 27042.0, 27338.0, 29079.0, 29127.0, 29995.0, 30836.0, 51043.0, 51222.0, 51300.0, 51493.0, 51608.0, 54458.0, 54555.0, 54780.0, 55128.0, 55693.0, 57082.0, 57097.0, 57101.0, 57414.0, 63920.0, 64776.0, 79142.0, 80097.0, 80212.0, 83860.0, 83933.0, 84172.0, 84268.0, 84271.0, 84614.0, 84630.0, 84660.0, 85004.0, 91689.0, 92689.0, 113878.0, 114799.0, 126526.0, 129401.0, 129685.0, 133522.0, 147179.0, 203245.0, 221178.0, 252969.0, 284129.0, 340602.0, 374875.0, 387893.0, 440073.0, 727800.0, 100861412.0	2.872585024075989	DLPFC	0.42524916943521596
GO:0005886	CC	e	plasma membrane	138/602	4487/29107	4.589700114818112e-06	3	138	0.001340957383546025	119.0, 160.0, 478.0, 780.0, 1128.0, 1141.0, 1630.0, 1836.0, 1947.0, 1952.0, 2040.0, 2045.0, 2566.0, 2686.0, 2787.0, 2821.0, 2835.0, 2932.0, 2934.0, 3038.0, 3177.0, 3360.0, 3570.0, 3691.0, 3732.0, 3745.0, 3752.0, 3765.0, 3845.0, 3987.0, 3993.0, 4131.0, 4478.0, 4735.0, 4978.0, 5021.0, 5130.0, 5291.0, 5295.0, 5341.0, 5364.0, 5494.0, 5532.0, 5604.0, 6272.0, 6307.0, 6330.0, 6376.0, 6446.0, 6533.0, 6548.0, 6610.0, 6810.0, 6812.0, 7433.0, 8567.0, 8578.0, 8649.0, 8777.0, 8935.0, 8994.0, 9066.0, 9217.0, 9379.0, 9590.0, 9735.0, 9900.0, 10011.0, 10019.0, 10411.0, 10505.0, 10581.0, 10818.0, 10861.0, 11322.0, 11343.0, 22865.0, 23205.0, 23371.0, 23499.0, 23516.0, 23596.0, 25999.0, 26470.0, 27106.0, 29780.0, 30851.0, 51206.0, 51305.0, 51474.0, 54625.0, 55256.0, 56894.0, 57101.0, 57156.0, 57449.0, 57451.0, 57611.0, 57704.0, 57716.0, 57731.0, 57863.0, 58986.0, 59283.0, 59284.0, 64137.0, 79628.0, 80024.0, 80036.0, 84079.0, 84102.0, 84230.0, 84239.0, 84258.0, 84418.0, 84612.0, 84660.0, 85004.0, 90249.0, 92745.0, 94015.0, 112755.0, 114804.0, 127833.0, 129401.0, 130399.0, 140885.0, 147179.0, 148281.0, 160851.0, 161357.0, 202333.0, 203245.0, 259296.0, 284129.0, 285175.0, 375612.0, 445815.0	2.872585024075989	DLPFC	0.4584717607973422
GO:0005515	MF	e	protein binding	392/602	12417/29107	5.371787000867228e-06	2	392	0.01187164927191657	160.0, 166.0, 226.0, 293.0, 478.0, 488.0, 547.0, 582.0, 593.0, 780.0, 984.0, 1051.0, 1052.0, 1128.0, 1141.0, 1270.0, 1428.0, 1509.0, 1630.0, 1635.0, 1847.0, 1849.0, 1947.0, 1982.0, 1992.0, 2040.0, 2045.0, 2070.0, 2073.0, 2078.0, 2139.0, 2566.0, 2686.0, 2787.0, 2821.0, 2932.0, 2934.0, 2968.0, 3038.0, 3145.0, 3150.0, 3184.0, 3360.0, 3570.0, 3638.0, 3659.0, 3691.0, 3732.0, 3745.0, 3752.0, 3765.0, 3845.0, 3981.0, 3985.0, 3987.0, 3993.0, 4000.0, 4015.0, 4130.0, 4131.0, 4204.0, 4248.0, 4293.0, 4331.0, 4332.0, 4335.0, 4343.0, 4478.0, 4485.0, 4681.0, 4735.0, 4744.0, 4776.0, 4791.0, 4904.0, 4978.0, 5121.0, 5130.0, 5184.0, 5277.0, 5291.0, 5295.0, 5327.0, 5341.0, 5364.0, 5447.0, 5475.0, 5494.0, 5532.0, 5569.0, 5604.0, 5606.0, 5634.0, 5718.0, 5905.0, 5978.0, 6048.0, 6175.0, 6196.0, 6205.0, 6253.0, 6257.0, 6272.0, 6307.0, 6330.0, 6376.0, 6446.0, 6499.0, 6548.0, 6610.0, 6659.0, 6810.0, 6812.0, 6832.0, 6880.0, 6904.0, 6948.0, 6992.0, 7332.0, 7349.0, 7399.0, 7433.0, 7448.0, 7465.0, 7552.0, 7568.0, 7697.0, 7760.0, 7767.0, 7802.0, 7846.0, 8030.0, 8036.0, 8237.0, 8349.0, 8406.0, 8408.0, 8448.0, 8480.0, 8497.0, 8534.0, 8565.0, 8567.0, 8578.0, 8649.0, 8663.0, 8675.0, 8739.0, 8777.0, 8812.0, 8835.0, 8863.0, 8888.0, 8935.0, 8994.0, 9066.0, 9091.0, 9099.0, 9217.0, 9296.0, 9306.0, 9394.0, 9446.0, 9590.0, 9600.0, 9735.0, 9746.0, 9765.0, 9814.0, 9892.0, 9912.0, 9919.0, 10011.0, 10014.0, 10019.0, 10084.0, 10102.0, 10120.0, 10128.0, 10212.0, 10254.0, 10299.0, 10392.0, 10411.0, 10417.0, 10592.0, 10625.0, 10658.0, 10667.0, 10682.0, 10766.0, 10782.0, 10797.0, 10818.0, 11041.0, 11112.0, 11177.0, 11322.0, 11332.0, 11343.0, 11346.0, 22843.0, 22865.0, 22893.0, 23054.0, 23076.0, 23089.0, 23135.0, 23369.0, 23371.0, 23463.0, 23499.0, 23596.0, 23619.0, 23677.0, 24140.0, 25974.0, 25999.0, 26024.0, 26229.0, 26258.0, 26292.0, 26471.0, 26751.0, 26993.0, 26999.0, 27042.0, 27065.0, 27106.0, 27113.0, 27229.0, 27338.0, 29079.0, 29127.0, 29780.0, 29919.0, 29995.0, 30836.0, 30850.0, 30851.0, 51005.0, 51043.0, 51073.0, 51117.0, 51154.0, 51206.0, 51222.0, 51246.0, 51247.0, 51300.0, 51307.0, 51399.0, 51463.0, 51474.0, 51493.0, 51608.0, 51646.0, 51668.0, 54458.0, 54472.0, 54555.0, 54620.0, 54625.0, 54715.0, 54780.0, 54873.0, 54914.0, 55128.0, 55139.0, 55238.0, 55256.0, 55260.0, 55508.0, 55663.0, 55693.0, 55702.0, 55755.0, 55964.0, 56603.0, 56894.0, 56941.0, 56992.0, 57082.0, 57101.0, 57522.0, 57572.0, 57611.0, 57687.0, 57716.0, 57731.0, 57787.0, 57863.0, 58986.0, 59284.0, 63920.0, 64137.0, 64151.0, 64776.0, 79071.0, 79085.0, 79142.0, 79156.0, 79660.0, 79794.0, 79939.0, 79993.0, 80097.0, 80129.0, 80206.0, 80212.0, 80298.0, 81567.0, 81786.0, 81848.0, 83696.0, 83860.0, 83933.0, 84079.0, 84102.0, 84172.0, 84230.0, 84258.0, 84268.0, 84271.0, 84330.0, 84418.0, 84457.0, 84530.0, 84612.0, 84618.0, 84660.0, 84709.0, 84898.0, 90353.0, 90411.0, 90678.0, 91039.0, 91179.0, 91523.0, 91689.0, 92689.0, 93166.0, 94015.0, 112755.0, 113878.0, 117166.0, 126298.0, 126526.0, 126820.0, 127281.0, 127833.0, 129401.0, 129685.0, 131405.0, 140545.0, 147179.0, 147660.0, 148304.0, 149428.0, 150383.0, 151903.0, 151963.0, 152137.0, 165679.0, 169841.0, 200894.0, 203111.0, 203245.0, 220992.0, 221178.0, 221424.0, 221692.0, 252969.0, 283385.0, 284129.0, 284346.0, 340527.0, 340602.0, 374969.0, 375612.0, 387893.0, 401548.0, 404550.0, 440050.0, 445571.0, 445815.0, 642968.0, 727800.0, 729438.0, 100101267.0, 100133941.0, 100861412.0	1.9254889423818666	DLPFC	1.302325581395349
GO:0005634	CC	e	nucleus	156/602	5367/29107	7.534746664603558e-06	5	156	0.001886915843292862	166.0, 226.0, 293.0, 984.0, 1051.0, 1122.0, 1847.0, 1947.0, 2070.0, 2073.0, 2078.0, 2139.0, 2178.0, 2932.0, 2934.0, 2968.0, 3038.0, 3150.0, 3184.0, 3659.0, 3981.0, 3985.0, 4000.0, 4015.0, 4204.0, 4343.0, 4478.0, 4735.0, 4776.0, 4791.0, 4904.0, 5121.0, 5130.0, 5291.0, 5295.0, 5475.0, 5494.0, 5569.0, 5604.0, 5978.0, 6175.0, 6196.0, 6257.0, 6446.0, 6499.0, 6659.0, 6832.0, 6880.0, 6992.0, 7332.0, 7465.0, 7552.0, 7568.0, 7697.0, 7743.0, 7760.0, 7767.0, 7846.0, 8036.0, 8237.0, 8349.0, 8480.0, 8609.0, 8812.0, 8863.0, 8888.0, 8994.0, 9520.0, 9735.0, 10011.0, 10014.0, 10084.0, 10128.0, 10157.0, 10194.0, 10212.0, 10592.0, 10658.0, 10766.0, 11346.0, 22843.0, 23054.0, 23076.0, 23135.0, 23619.0, 23677.0, 25999.0, 26292.0, 26471.0, 26993.0, 26999.0, 27065.0, 27338.0, 29079.0, 29127.0, 29995.0, 30833.0, 51005.0, 51222.0, 51276.0, 51307.0, 51493.0, 51646.0, 54555.0, 54625.0, 54715.0, 54780.0, 55128.0, 55256.0, 55663.0, 55693.0, 56903.0, 57082.0, 57451.0, 57716.0, 64151.0, 79142.0, 79156.0, 79776.0, 81786.0, 83860.0, 83933.0, 84268.0, 84271.0, 84330.0, 84530.0, 84612.0, 84630.0, 84660.0, 84944.0, 85004.0, 85443.0, 90333.0, 91039.0, 93166.0, 112755.0, 114804.0, 126208.0, 126526.0, 129685.0, 133522.0, 143689.0, 147660.0, 147699.0, 149428.0, 169841.0, 202333.0, 203245.0, 220992.0, 221692.0, 256006.0, 283385.0, 284346.0, 340602.0, 345462.0, 100861412.0	2.724247468996994	DLPFC	0.5182724252491694
GO:0005789	CC	e	endoplasmic reticulum membrane	42/602	973/29107	8.899672529414529e-06	4	42	0.001950140743007959	488.0, 2131.0, 3638.0, 3845.0, 5130.0, 5277.0, 5447.0, 6048.0, 6272.0, 6307.0, 6446.0, 6548.0, 8408.0, 9091.0, 9217.0, 9420.0, 9487.0, 9600.0, 9746.0, 9919.0, 10299.0, 10682.0, 11015.0, 11322.0, 11343.0, 23463.0, 26470.0, 27065.0, 51246.0, 55627.0, 55780.0, 56603.0, 56894.0, 64788.0, 79071.0, 79868.0, 79993.0, 84230.0, 90411.0, 165679.0, 286144.0, 100101267.0	2.7099340441728703	DLPFC	0.13953488372093023
GO:0005737	CC	e	cytoplasm	160/599	4681/29107	3.649580235365012e-06	2	160	0.003356235872551079	59.0, 324.0, 890.0, 896.0, 947.0, 1001.0, 1056.0, 1382.0, 1465.0, 1499.0, 1656.0, 2272.0, 2592.0, 2644.0, 2665.0, 3091.0, 3304.0, 3925.0, 4291.0, 4323.0, 4826.0, 4867.0, 4952.0, 5216.0, 5236.0, 5347.0, 5358.0, 5562.0, 5635.0, 5684.0, 5745.0, 5777.0, 5827.0, 6261.0, 6667.0, 6991.0, 6993.0, 7128.0, 7224.0, 7402.0, 7444.0, 7517.0, 7533.0, 7739.0, 7779.0, 7782.0, 7832.0, 7867.0, 8447.0, 8815.0, 9107.0, 9322.0, 9354.0, 9468.0, 9541.0, 9651.0, 9755.0, 9764.0, 9857.0, 10020.0, 10461.0, 10513.0, 11101.0, 11345.0, 22891.0, 23094.0, 23173.0, 23247.0, 23380.0, 23384.0, 23424.0, 23596.0, 25937.0, 26001.0, 26112.0, 27006.0, 27044.0, 27254.0, 27296.0, 29914.0, 29979.0, 30812.0, 30844.0, 50619.0, 51066.0, 51278.0, 51360.0, 51454.0, 51547.0, 51752.0, 54457.0, 54784.0, 54882.0, 55337.0, 55679.0, 56521.0, 56666.0, 56915.0, 57060.0, 57144.0, 57464.0, 57465.0, 57484.0, 57494.0, 57509.0, 57560.0, 64098.0, 64410.0, 64926.0, 79609.0, 79846.0, 79858.0, 79869.0, 79925.0, 79930.0, 79987.0, 81572.0, 81573.0, 81844.0, 81873.0, 83657.0, 83737.0, 84056.0, 84135.0, 84229.0, 84327.0, 84331.0, 84513.0, 84707.0, 84766.0, 92610.0, 93663.0, 112399.0, 114034.0, 114907.0, 116984.0, 116988.0, 122060.0, 122773.0, 124540.0, 125061.0, 138639.0, 144347.0, 151636.0, 151827.0, 152185.0, 153657.0, 164395.0, 166785.0, 196383.0, 221264.0, 282679.0, 282809.0, 283987.0, 284004.0, 286187.0, 389432.0, 404672.0, 494143.0, 100533183.0	2.4741475250341414	Hippocampus	0.5342237061769616
GO:0005829	CC	e	cytosol	166/599	5294/29107	3.829133910497522e-06	2	166	0.003356235872551079	59.0, 316.0, 324.0, 534.0, 687.0, 800.0, 890.0, 1382.0, 1499.0, 1656.0, 2047.0, 2050.0, 2114.0, 2135.0, 2184.0, 2272.0, 2296.0, 2549.0, 2592.0, 2644.0, 2665.0, 2745.0, 2992.0, 3091.0, 3304.0, 3628.0, 3636.0, 3925.0, 3937.0, 4128.0, 4323.0, 4867.0, 4952.0, 5209.0, 5216.0, 5236.0, 5347.0, 5358.0, 5562.0, 5567.0, 5683.0, 5684.0, 5692.0, 5777.0, 5801.0, 5827.0, 5966.0, 6170.0, 6655.0, 6723.0, 6793.0, 7051.0, 7128.0, 7389.0, 7517.0, 7533.0, 7832.0, 7867.0, 8677.0, 8682.0, 8805.0, 8815.0, 8829.0, 9107.0, 9125.0, 9322.0, 9615.0, 9701.0, 9847.0, 9871.0, 10020.0, 10483.0, 10526.0, 10814.0, 10815.0, 10890.0, 11077.0, 11124.0, 11345.0, 22882.0, 22894.0, 22895.0, 23052.0, 23173.0, 23198.0, 23243.0, 23244.0, 23354.0, 23380.0, 23406.0, 23446.0, 23555.0, 23710.0, 23766.0, 25937.0, 25963.0, 27010.0, 27044.0, 27292.0, 29979.0, 50619.0, 51114.0, 51128.0, 51306.0, 51517.0, 51665.0, 51752.0, 54498.0, 54858.0, 55166.0, 55337.0, 55571.0, 55679.0, 56915.0, 57060.0, 57144.0, 57464.0, 57494.0, 58526.0, 59349.0, 64410.0, 64759.0, 64766.0, 64926.0, 79058.0, 79609.0, 80709.0, 80896.0, 81578.0, 81844.0, 83737.0, 83743.0, 84033.0, 84144.0, 84303.0, 84327.0, 84749.0, 84955.0, 84993.0, 92610.0, 93663.0, 112399.0, 114294.0, 114907.0, 122773.0, 123591.0, 124540.0, 125061.0, 129880.0, 136332.0, 147166.0, 148022.0, 151636.0, 158234.0, 163786.0, 171024.0, 196383.0, 200895.0, 221264.0, 253558.0, 253980.0, 282679.0, 283987.0, 284434.0, 340061.0, 494143.0	2.4741475250341414	Hippocampus	0.5542570951585977
GO:0005515	MF	e	protein binding	359/599	12417/29107	5.071924447199617e-06	2	359	0.02241790605662231	291.0, 324.0, 516.0, 534.0, 688.0, 716.0, 800.0, 858.0, 885.0, 887.0, 890.0, 896.0, 947.0, 1056.0, 1102.0, 1244.0, 1318.0, 1382.0, 1465.0, 1499.0, 1513.0, 1656.0, 1770.0, 2047.0, 2050.0, 2114.0, 2134.0, 2135.0, 2184.0, 2201.0, 2262.0, 2272.0, 2296.0, 2355.0, 2549.0, 2592.0, 2644.0, 2665.0, 2669.0, 2745.0, 2896.0, 2912.0, 2962.0, 2983.0, 2992.0, 3021.0, 3091.0, 3263.0, 3304.0, 3429.0, 3455.0, 3459.0, 3488.0, 3628.0, 3636.0, 3756.0, 3925.0, 3937.0, 4038.0, 4059.0, 4128.0, 4291.0, 4323.0, 4486.0, 4513.0, 4693.0, 4741.0, 4867.0, 4943.0, 4952.0, 5010.0, 5111.0, 5209.0, 5216.0, 5236.0, 5279.0, 5347.0, 5356.0, 5411.0, 5562.0, 5567.0, 5627.0, 5635.0, 5683.0, 5684.0, 5692.0, 5725.0, 5745.0, 5746.0, 5777.0, 5801.0, 5827.0, 5869.0, 5883.0, 5966.0, 6103.0, 6506.0, 6529.0, 6655.0, 6662.0, 6667.0, 6723.0, 6793.0, 6934.0, 6991.0, 6993.0, 7051.0, 7102.0, 7105.0, 7128.0, 7224.0, 7389.0, 7402.0, 7444.0, 7517.0, 7533.0, 7739.0, 7779.0, 7782.0, 7832.0, 7867.0, 8482.0, 8568.0, 8677.0, 8682.0, 8763.0, 8805.0, 8815.0, 8829.0, 9057.0, 9107.0, 9125.0, 9319.0, 9322.0, 9354.0, 9497.0, 9541.0, 9701.0, 9723.0, 9755.0, 9857.0, 9862.0, 9871.0, 9913.0, 9914.0, 9968.0, 10020.0, 10329.0, 10418.0, 10439.0, 10461.0, 10483.0, 10513.0, 10526.0, 10814.0, 10815.0, 10890.0, 11077.0, 11091.0, 11101.0, 11117.0, 11124.0, 11311.0, 11345.0, 22807.0, 22882.0, 22891.0, 22894.0, 22895.0, 22986.0, 23052.0, 23094.0, 23119.0, 23173.0, 23187.0, 23198.0, 23243.0, 23244.0, 23264.0, 23354.0, 23380.0, 23384.0, 23406.0, 23424.0, 23555.0, 23596.0, 23660.0, 23673.0, 23710.0, 25851.0, 25937.0, 25960.0, 26001.0, 26049.0, 26059.0, 26108.0, 26146.0, 26747.0, 27010.0, 27019.0, 27044.0, 27086.0, 27254.0, 27296.0, 28970.0, 29914.0, 29944.0, 29948.0, 29979.0, 29992.0, 30844.0, 50619.0, 51109.0, 51114.0, 51128.0, 51241.0, 51278.0, 51373.0, 51389.0, 51440.0, 51517.0, 51547.0, 51665.0, 51752.0, 53405.0, 53826.0, 54108.0, 54457.0, 54664.0, 54760.0, 54784.0, 54882.0, 54913.0, 54969.0, 54971.0, 55166.0, 55259.0, 55272.0, 55322.0, 55337.0, 55529.0, 55571.0, 56521.0, 56650.0, 56915.0, 56935.0, 57050.0, 57144.0, 57465.0, 57657.0, 58526.0, 59274.0, 59349.0, 63908.0, 63967.0, 64098.0, 64755.0, 64759.0, 64766.0, 64785.0, 64926.0, 65251.0, 65990.0, 79058.0, 79609.0, 79633.0, 79669.0, 79858.0, 79869.0, 79930.0, 80709.0, 80896.0, 81572.0, 81573.0, 81844.0, 81873.0, 83737.0, 83743.0, 84033.0, 84056.0, 84081.0, 84135.0, 84142.0, 84229.0, 84303.0, 84331.0, 84440.0, 84513.0, 84645.0, 84707.0, 84749.0, 84766.0, 84955.0, 84993.0, 91147.0, 91283.0, 91289.0, 92610.0, 93185.0, 112399.0, 112970.0, 113402.0, 114034.0, 114907.0, 116143.0, 116835.0, 118427.0, 121053.0, 122060.0, 122509.0, 123591.0, 124540.0, 125061.0, 126669.0, 128414.0, 128869.0, 128977.0, 129880.0, 134111.0, 136332.0, 138639.0, 143098.0, 144347.0, 146664.0, 147463.0, 148022.0, 151636.0, 152185.0, 152404.0, 153129.0, 153657.0, 154313.0, 157773.0, 158234.0, 161145.0, 163786.0, 166785.0, 171024.0, 196383.0, 201965.0, 219287.0, 220136.0, 221035.0, 222537.0, 253558.0, 253980.0, 256815.0, 282809.0, 283987.0, 284695.0, 284992.0, 285527.0, 340061.0, 347734.0, 374383.0, 404672.0, 643853.0, 100533183.0, 101928527.0	1.649404955100711	Hippocampus	1.1986644407345577
GO:0005813	CC	e	centrosome	28/599	528/29107	5.971939108474863e-06	3	28	0.003489603085718811	35.0, 324.0, 1499.0, 3304.0, 5111.0, 5347.0, 5567.0, 6103.0, 6509.0, 9541.0, 9857.0, 22891.0, 23354.0, 26146.0, 27019.0, 57560.0, 79858.0, 80709.0, 83657.0, 84056.0, 84318.0, 84440.0, 91147.0, 152185.0, 163786.0, 196383.0, 282809.0, 286187.0	2.4572239677356698	Hippocampus	0.09348914858096828
GO:0005654	CC	e	nucleoplasm	116/599	3805/29107	1.243642340136399e-05	2	116	0.005450262555647771	35.0, 324.0, 687.0, 688.0, 890.0, 896.0, 1382.0, 1499.0, 1513.0, 2114.0, 2135.0, 2296.0, 2355.0, 2644.0, 2962.0, 3021.0, 3091.0, 3304.0, 4603.0, 4664.0, 5111.0, 5209.0, 5347.0, 5356.0, 5562.0, 5567.0, 5683.0, 5684.0, 5692.0, 5725.0, 5777.0, 5883.0, 5966.0, 6662.0, 6667.0, 6934.0, 7389.0, 7402.0, 7517.0, 7867.0, 8682.0, 8805.0, 8815.0, 9322.0, 9862.0, 9913.0, 9968.0, 10329.0, 10513.0, 10526.0, 11091.0, 11124.0, 22882.0, 22894.0, 23029.0, 23094.0, 23119.0, 23198.0, 23243.0, 23244.0, 23380.0, 23446.0, 23673.0, 25851.0, 25937.0, 26108.0, 26747.0, 27086.0, 27292.0, 28970.0, 29979.0, 50619.0, 51163.0, 51278.0, 51547.0, 51780.0, 54498.0, 54913.0, 54971.0, 55166.0, 55272.0, 55337.0, 56849.0, 56915.0, 57050.0, 57144.0, 63967.0, 64785.0, 79058.0, 79366.0, 79858.0, 79869.0, 80709.0, 81556.0, 81844.0, 83737.0, 83743.0, 84081.0, 84135.0, 84142.0, 84955.0, 112399.0, 114034.0, 114907.0, 134111.0, 138639.0, 143098.0, 151636.0, 158234.0, 171024.0, 221264.0, 253980.0, 284695.0, 340061.0, 388585.0, 404672.0	2.263582575939417	Hippocampus	0.38731218697829717
