GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items	Log10	Tissue	Direction_of_Effect
GO:0005743	CC	e	mitochondrial inner membrane	57/2249	404/29107	1.223337038204729e-05	5	57	0.001340318642483056	1159.0, 1160.0, 1340.0, 1384.0, 2021.0, 2232.0, 2537.0, 4536.0, 4537.0, 4539.0, 4700.0, 4713.0, 4722.0, 4724.0, 4726.0, 4731.0, 4833.0, 5138.0, 5625.0, 6150.0, 6188.0, 6389.0, 6391.0, 6622.0, 7818.0, 8760.0, 9801.0, 9812.0, 9941.0, 10131.0, 10229.0, 10730.0, 23530.0, 23788.0, 26517.0, 29093.0, 51081.0, 51295.0, 51312.0, 51522.0, 54998.0, 55210.0, 55349.0, 55744.0, 55863.0, 57129.0, 58472.0, 60386.0, 64978.0, 84274.0, 84303.0, 114971.0, 115209.0, 115286.0, 132001.0, 284723.0, 100287932.0	2.8727919417685857	Caudate	All
GO:0017124	MF	e	SH3 domain binding	25/2249	129/29107	1.623735123979647e-05	4	25	0.007176909247990041	102.0, 842.0, 1793.0, 1815.0, 2885.0, 3635.0, 4036.0, 4067.0, 6451.0, 6452.0, 6654.0, 8631.0, 8751.0, 8754.0, 9232.0, 10314.0, 50944.0, 55740.0, 57514.0, 57706.0, 64780.0, 83992.0, 85021.0, 201176.0, 202559.0	2.1440625453862343	Caudate	All
GO:0035024	BP	e	negative regulation of Rho protein signal transduction	9/2249	22/29107	1.900000919614912e-05	10	9	0.03373587347127677	148.0, 2909.0, 3688.0, 4233.0, 7126.0, 23189.0, 83892.0, 201163.0, 202243.0	1.4719080408415848	Caudate	All
GO:0005794	CC	e	Golgi apparatus	114/2249	988/29107	2.012881833103006e-05	5	114	0.002075636384370335	102.0, 378.0, 411.0, 567.0, 745.0, 824.0, 955.0, 1075.0, 1183.0, 1388.0, 2017.0, 2132.0, 2218.0, 2261.0, 2264.0, 2885.0, 3107.0, 3759.0, 4036.0, 4040.0, 4067.0, 4166.0, 4249.0, 4923.0, 4988.0, 5138.0, 5527.0, 5592.0, 5742.0, 5768.0, 5861.0, 5865.0, 6622.0, 6642.0, 7099.0, 7249.0, 7525.0, 7812.0, 8029.0, 8325.0, 8459.0, 8460.0, 8546.0, 8549.0, 8621.0, 8675.0, 9331.0, 9388.0, 9463.0, 9741.0, 9906.0, 9917.0, 10333.0, 10347.0, 10466.0, 10490.0, 10652.0, 10690.0, 10749.0, 10791.0, 10841.0, 22931.0, 23169.0, 23332.0, 23531.0, 23563.0, 23604.0, 25825.0, 25849.0, 25865.0, 26298.0, 26511.0, 27333.0, 29800.0, 29940.0, 29952.0, 51201.0, 51313.0, 51324.0, 51535.0, 51741.0, 53834.0, 54756.0, 54867.0, 55297.0, 55315.0, 55681.0, 55690.0, 56005.0, 56624.0, 57447.0, 64127.0, 65258.0, 79109.0, 79585.0, 79844.0, 79932.0, 81550.0, 81551.0, 89846.0, 92689.0, 93380.0, 116985.0, 126792.0, 129049.0, 146664.0, 147138.0, 151393.0, 153339.0, 161291.0, 168391.0, 222236.0, 284129.0, 389075.0	2.6828487250493938	Caudate	All
GO:0006364	BP	e	rRNA processing	23/2249	116/29107	2.379909684955728e-05	9	23	0.03627231641921543	3669.0, 5393.0, 6155.0, 6201.0, 6218.0, 6223.0, 6234.0, 9045.0, 10360.0, 27341.0, 29960.0, 50628.0, 51096.0, 51154.0, 51367.0, 54913.0, 55636.0, 55646.0, 84128.0, 113510.0, 118460.0, 130916.0, 317781.0	1.4404247086610997	Caudate	All
GO:0001938	BP	e	positive regulation of endothelial cell proliferation	17/2249	72/29107	2.626525446720886e-05	7	17	0.03627231641921543	650.0, 652.0, 2277.0, 2475.0, 3148.0, 3690.0, 5293.0, 5578.0, 6387.0, 7060.0, 7423.0, 7424.0, 8828.0, 10000.0, 25865.0, 55109.0, 56005.0	1.4404247086610997	Caudate	All
GO:0016021	CC	e	integral component of membrane	338/2249	3536/29107	3.029964496811425e-05	3	338	0.00295084875717246	102.0, 355.0, 358.0, 362.0, 368.0, 533.0, 537.0, 745.0, 754.0, 952.0, 955.0, 975.0, 1003.0, 1534.0, 1687.0, 1798.0, 1824.0, 1828.0, 2010.0, 2123.0, 2132.0, 2327.0, 2328.0, 2329.0, 2359.0, 2532.0, 2537.0, 2849.0, 2917.0, 3108.0, 3140.0, 3429.0, 3460.0, 3568.0, 3749.0, 3792.0, 4036.0, 4040.0, 4072.0, 4128.0, 4166.0, 4185.0, 4233.0, 4249.0, 4257.0, 4311.0, 4779.0, 4804.0, 4881.0, 4948.0, 5133.0, 5281.0, 5800.0, 5817.0, 5918.0, 5961.0, 6259.0, 6391.0, 6520.0, 6545.0, 6549.0, 6557.0, 6584.0, 6646.0, 6836.0, 7095.0, 7348.0, 7399.0, 7439.0, 8165.0, 8174.0, 8269.0, 8273.0, 8303.0, 8325.0, 8459.0, 8519.0, 8675.0, 8748.0, 8751.0, 8754.0, 8760.0, 8828.0, 8992.0, 8995.0, 9071.0, 9091.0, 9117.0, 9289.0, 9331.0, 9469.0, 9537.0, 9687.0, 9741.0, 9823.0, 9843.0, 9868.0, 9884.0, 9902.0, 9906.0, 9917.0, 9927.0, 9951.0, 10003.0, 10175.0, 10347.0, 10351.0, 10385.0, 10402.0, 10410.0, 10446.0, 10457.0, 10463.0, 10490.0, 10558.0, 10613.0, 10690.0, 10730.0, 10752.0, 10863.0, 11057.0, 11118.0, 11119.0, 22918.0, 22925.0, 23169.0, 23204.0, 23231.0, 23416.0, 23460.0, 23463.0, 23530.0, 23539.0, 23563.0, 23585.0, 23592.0, 23786.0, 23788.0, 25825.0, 25849.0, 26002.0, 26032.0, 26092.0, 26173.0, 26503.0, 26504.0, 26762.0, 26996.0, 27230.0, 27333.0, 28513.0, 29103.0, 29800.0, 29940.0, 29954.0, 30817.0, 50640.0, 50838.0, 50839.0, 51075.0, 51192.0, 51246.0, 51257.0, 51259.0, 51312.0, 51313.0, 51390.0, 51465.0, 51522.0, 51703.0, 53834.0, 54543.0, 54587.0, 54756.0, 54798.0, 54838.0, 54842.0, 54867.0, 54914.0, 54916.0, 54918.0, 54982.0, 54991.0, 55007.0, 55076.0, 55129.0, 55210.0, 55244.0, 55315.0, 55340.0, 55353.0, 55831.0, 55863.0, 55901.0, 56246.0, 56253.0, 56262.0, 56704.0, 56851.0, 57007.0, 57110.0, 57463.0, 57535.0, 57537.0, 57655.0, 57834.0, 59307.0, 60437.0, 64072.0, 64090.0, 64208.0, 64231.0, 64285.0, 64755.0, 64778.0, 65258.0, 79022.0, 79053.0, 79087.0, 79137.0, 79157.0, 79258.0, 79570.0, 79585.0, 79591.0, 79844.0, 79901.0, 79932.0, 80000.0, 80142.0, 80144.0, 80235.0, 80342.0, 80731.0, 80777.0, 81035.0, 81544.0, 81671.0, 83539.0, 83787.0, 83857.0, 83877.0, 84063.0, 84283.0, 84418.0, 84548.0, 84650.0, 84689.0, 84830.0, 84898.0, 84976.0, 85414.0, 89894.0, 93380.0, 94101.0, 112609.0, 115209.0, 115286.0, 116337.0, 121551.0, 123606.0, 124976.0, 126792.0, 137075.0, 138799.0, 139065.0, 144245.0, 145407.0, 145748.0, 146664.0, 147645.0, 147670.0, 147991.0, 148229.0, 151393.0, 151516.0, 151742.0, 152078.0, 153339.0, 158038.0, 158326.0, 161291.0, 168391.0, 195814.0, 196051.0, 196264.0, 197021.0, 200150.0, 200634.0, 201164.0, 201305.0, 201780.0, 204219.0, 206358.0, 219738.0, 220002.0, 221477.0, 221687.0, 253558.0, 253559.0, 255027.0, 255275.0, 259294.0, 283417.0, 283420.0, 284111.0, 284129.0, 284525.0, 284723.0, 285315.0, 286144.0, 286204.0, 341640.0, 343171.0, 345274.0, 349152.0, 374462.0, 374819.0, 375057.0, 375790.0, 387804.0, 388325.0, 388512.0, 392617.0, 401994.0, 402415.0, 402778.0, 403313.0, 408050.0, 439921.0, 474170.0, 613212.0, 642987.0, 728888.0, 768211.0, 100128731.0, 100132247.0, 100505876.0	2.5300530492627247	Caudate	All
GO:0003924	MF	e	GTPase activity	47/2249	327/29107	3.830178244262693e-05	7	47	0.01539035258149191	378.0, 1968.0, 2778.0, 2784.0, 2787.0, 2909.0, 2935.0, 4218.0, 4599.0, 4600.0, 5861.0, 5865.0, 5878.0, 5899.0, 5908.0, 5921.0, 5997.0, 5999.0, 6000.0, 7280.0, 8787.0, 9077.0, 9364.0, 9927.0, 10981.0, 11031.0, 11159.0, 22808.0, 22931.0, 23221.0, 23433.0, 23551.0, 27175.0, 51285.0, 51762.0, 57826.0, 64121.0, 84100.0, 84340.0, 84617.0, 84705.0, 84790.0, 85865.0, 116987.0, 161253.0, 196968.0, 282808.0	1.8127514306920844	Caudate	All
GO:0022627	CC	e	cytosolic small ribosomal subunit	12/2249	41/29107	4.176116454276275e-05	5	12	0.003853016918077005	3040.0, 6188.0, 6191.0, 6201.0, 6203.0, 6207.0, 6208.0, 6218.0, 6222.0, 6223.0, 6231.0, 6234.0	2.4141990840543865	Caudate	All
GO:0043295	MF	e	glutathione binding	6/2249	11/29107	6.949451948074112e-05	5	6	0.02397356771868402	2944.0, 2947.0, 2948.0, 4257.0, 10314.0, 80142.0	1.6202673299530481	Caudate	All
GO:0050661	MF	e	NADP binding	11/2249	37/29107	7.417715981647928e-05	5	11	0.02397356771868402	1717.0, 1806.0, 2327.0, 2328.0, 2329.0, 4843.0, 5226.0, 6697.0, 23530.0, 53905.0, 554235.0	1.6202673299530481	Caudate	All
GO:0005887	CC	e	integral component of plasma membrane	149/2249	1403/29107	7.559619233276743e-05	4	149	0.006626006257967065	40.0, 91.0, 92.0, 107.0, 114.0, 146.0, 147.0, 148.0, 150.0, 177.0, 358.0, 362.0, 886.0, 925.0, 944.0, 947.0, 949.0, 958.0, 975.0, 976.0, 1000.0, 1138.0, 1183.0, 1308.0, 1378.0, 1441.0, 1815.0, 2040.0, 2046.0, 2057.0, 2065.0, 2195.0, 2261.0, 2264.0, 2322.0, 2830.0, 2845.0, 2859.0, 2861.0, 2900.0, 2917.0, 3107.0, 3269.0, 3356.0, 3359.0, 3460.0, 3554.0, 3690.0, 3732.0, 3759.0, 3821.0, 4233.0, 4311.0, 4544.0, 4804.0, 4868.0, 4882.0, 4923.0, 4988.0, 5023.0, 5097.0, 5175.0, 5786.0, 5789.0, 5795.0, 5797.0, 5800.0, 5961.0, 5979.0, 5995.0, 6006.0, 6091.0, 6259.0, 6302.0, 6507.0, 6517.0, 6536.0, 6540.0, 6610.0, 6693.0, 6752.0, 7099.0, 7103.0, 7225.0, 7348.0, 7434.0, 8001.0, 8549.0, 8611.0, 9289.0, 9332.0, 9365.0, 10161.0, 10333.0, 10457.0, 10652.0, 10666.0, 10791.0, 11027.0, 11120.0, 22829.0, 23416.0, 23531.0, 23539.0, 23601.0, 23620.0, 26503.0, 27133.0, 27328.0, 29990.0, 30817.0, 50856.0, 51201.0, 55503.0, 55515.0, 55540.0, 55558.0, 55630.0, 55848.0, 56102.0, 56109.0, 56128.0, 56147.0, 56262.0, 56302.0, 56624.0, 57535.0, 57537.0, 58494.0, 60598.0, 79054.0, 84063.0, 84189.0, 90134.0, 90139.0, 114814.0, 117531.0, 131566.0, 140803.0, 145389.0, 147138.0, 196883.0, 221074.0, 284129.0, 338557.0, 339390.0, 441631.0, 653160.0, 100507436.0	2.1787481582821178	Caudate	All
GO:0005509	MF	e	calcium ion binding	84/2249	704/29107	7.701136192311633e-05	5	84	0.02397356771868402	307.0, 794.0, 821.0, 824.0, 976.0, 1000.0, 1003.0, 1824.0, 1828.0, 2009.0, 2195.0, 2979.0, 3241.0, 3339.0, 4036.0, 4745.0, 5097.0, 5979.0, 6262.0, 6282.0, 6285.0, 6622.0, 6717.0, 7052.0, 7060.0, 7062.0, 8029.0, 8605.0, 8826.0, 8996.0, 9362.0, 9478.0, 9806.0, 10235.0, 10627.0, 11167.0, 11261.0, 22915.0, 22918.0, 23007.0, 23075.0, 25891.0, 27328.0, 28513.0, 30817.0, 50856.0, 50859.0, 51199.0, 53905.0, 54550.0, 54798.0, 54825.0, 54885.0, 56102.0, 56109.0, 56128.0, 56147.0, 56171.0, 56624.0, 56884.0, 57402.0, 60437.0, 63826.0, 64072.0, 64800.0, 78989.0, 79180.0, 80274.0, 83872.0, 83988.0, 84288.0, 84455.0, 85021.0, 123745.0, 140576.0, 147372.0, 255189.0, 255743.0, 283229.0, 283748.0, 286204.0, 375790.0, 388677.0, 440279.0	1.6202673299530481	Caudate	All
GO:0003735	MF	e	structural constituent of ribosome	28/2249	163/29107	8.135826148874669e-05	2	28	0.02397356771868402	4736.0, 6122.0, 6130.0, 6132.0, 6133.0, 6134.0, 6150.0, 6155.0, 6158.0, 6167.0, 6188.0, 6191.0, 6201.0, 6203.0, 6207.0, 6208.0, 6218.0, 6222.0, 6223.0, 6231.0, 6234.0, 7818.0, 9045.0, 9801.0, 23521.0, 29093.0, 51081.0, 57129.0	1.6202673299530481	Caudate	All
GO:0005788	CC	e	endoplasmic reticulum lumen	44/2249	306/29107	8.468362555283885e-05	5	44	0.007069066456863167	102.0, 258.0, 411.0, 414.0, 567.0, 652.0, 821.0, 1000.0, 1075.0, 1282.0, 1293.0, 1297.0, 1301.0, 1302.0, 1308.0, 2322.0, 3486.0, 3487.0, 3592.0, 3698.0, 3912.0, 3915.0, 5768.0, 7466.0, 7473.0, 9403.0, 10130.0, 10956.0, 11001.0, 11098.0, 11167.0, 25870.0, 27348.0, 51148.0, 51246.0, 54587.0, 54982.0, 56005.0, 64714.0, 79087.0, 153642.0, 285203.0, 285362.0, 340267.0	2.150637935482103	Caudate	All
GO:0008970	MF	e	phospholipase A1 activity	7/2249	16/29107	9.979861477601533e-05	6	7	0.02756936733187423	8605.0, 9388.0, 51365.0, 57110.0, 123745.0, 255189.0, 283748.0	1.5595732000686386	Caudate	All
GO:0000139	CC	e	Golgi membrane	72/2249	587/29107	0.0001164510287837427	5	72	0.009279029702631858	102.0, 567.0, 955.0, 966.0, 2132.0, 2475.0, 3107.0, 3127.0, 3133.0, 3134.0, 3140.0, 3460.0, 3838.0, 4166.0, 4218.0, 4249.0, 5045.0, 5768.0, 5861.0, 6093.0, 6836.0, 8459.0, 8460.0, 8675.0, 8692.0, 9331.0, 9469.0, 9478.0, 9827.0, 9917.0, 9951.0, 10175.0, 10347.0, 10402.0, 10466.0, 10652.0, 10690.0, 10841.0, 11261.0, 22796.0, 23256.0, 23460.0, 23563.0, 25839.0, 25849.0, 27333.0, 29940.0, 51000.0, 51070.0, 51201.0, 51226.0, 51313.0, 54499.0, 54756.0, 54941.0, 55062.0, 55790.0, 56624.0, 57531.0, 64285.0, 79585.0, 79591.0, 79932.0, 80142.0, 80342.0, 83539.0, 93380.0, 126792.0, 146664.0, 153339.0, 221477.0, 222236.0	2.032497435076871	Caudate	All
GO:0016491	MF	e	oxidoreductase activity	21/2249	112/29107	0.0001228267599043527	2	21	0.03193495757513171	1534.0, 2110.0, 2232.0, 4843.0, 6622.0, 9403.0, 9843.0, 51741.0, 55256.0, 55349.0, 56605.0, 57179.0, 79901.0, 81577.0, 83592.0, 115817.0, 119391.0, 220002.0, 285362.0, 317749.0, 399671.0	1.495733656456002	Caudate	All
GO:0042612	CC	e	MHC class I protein complex	5/2249	8/29107	0.0001258950812383096	5	5	0.009460710486525643	567.0, 3107.0, 3133.0, 3134.0, 3140.0	2.0240762474469354	Caudate	All
GO:0045121	CC	e	membrane raft	36/2249	240/29107	0.000129524844082496	4	36	0.009460710486525643	107.0, 114.0, 330.0, 355.0, 824.0, 1272.0, 2040.0, 3098.0, 3635.0, 3688.0, 4067.0, 4311.0, 4923.0, 4988.0, 5023.0, 5045.0, 5175.0, 5979.0, 6517.0, 7186.0, 8611.0, 8692.0, 8826.0, 9289.0, 10008.0, 10333.0, 10666.0, 23433.0, 54982.0, 56624.0, 64750.0, 79026.0, 79054.0, 79180.0, 79870.0, 84433.0	2.0240762474469354	Caudate	All
GO:0004000	MF	e	adenosine deaminase activity	4/2249	5/29107	0.0001668032721212804	5	4	0.04095947015422551	100.0, 51816.0, 144811.0, 161823.0	1.3876456699664161	Caudate	All
GO:0043235	CC	e	receptor complex	32/2249	209/29107	0.0002076619097950589	2	32	0.01456125311482953	91.0, 92.0, 150.0, 1441.0, 2046.0, 2065.0, 2261.0, 2264.0, 2322.0, 2675.0, 2861.0, 2917.0, 3568.0, 3594.0, 3688.0, 3690.0, 3821.0, 4036.0, 4233.0, 4881.0, 5786.0, 5979.0, 6259.0, 7099.0, 8029.0, 10333.0, 22925.0, 26996.0, 57528.0, 342372.0, 374462.0, 388325.0	1.8368012488253402	Caudate	All
GO:0005604	CC	e	basement membrane	17/2249	85/29107	0.0002366712936423586	5	17	0.01595710683673287	1282.0, 1297.0, 1308.0, 3339.0, 3908.0, 3912.0, 3915.0, 7060.0, 7399.0, 80144.0, 83872.0, 126147.0, 158326.0, 255743.0, 340267.0, 341640.0, 375790.0	1.7970458472422526	Caudate	All
GO:0009897	CC	e	external side of plasma membrane	41/2249	295/29107	0.0002529593994641703	3	41	0.01642362323187743	100.0, 355.0, 563.0, 567.0, 824.0, 925.0, 947.0, 958.0, 1003.0, 1441.0, 2675.0, 3133.0, 3134.0, 3140.0, 3554.0, 3568.0, 3594.0, 3688.0, 4036.0, 4907.0, 5023.0, 5133.0, 6387.0, 6517.0, 6693.0, 7099.0, 8748.0, 9332.0, 10385.0, 10495.0, 10666.0, 11118.0, 11119.0, 11120.0, 57007.0, 79054.0, 80274.0, 80328.0, 80741.0, 117531.0, 100507436.0	1.784531026508473	Caudate	All
GO:0036057	CC	e	slit diaphragm	5/2249	9/29107	0.0002651693244475594	6	5	0.01660149377702041	4868.0, 7225.0, 8826.0, 9863.0, 84063.0	1.7798528330484986	Caudate	All
GO:0005741	CC	e	mitochondrial outer membrane	28/2249	180/29107	0.0003649056066923588	6	28	0.02205791477695534	599.0, 670.0, 2475.0, 2710.0, 3098.0, 3429.0, 4128.0, 4257.0, 5138.0, 5366.0, 5521.0, 6622.0, 8165.0, 8303.0, 9804.0, 9823.0, 9868.0, 9927.0, 10981.0, 51703.0, 54543.0, 54974.0, 54996.0, 80179.0, 80342.0, 80777.0, 126129.0, 201164.0	1.6564355455524702	Caudate	All
GO:0015629	CC	e	actin cytoskeleton	35/2249	245/29107	0.0004148226797173759	6	35	0.02353808914433297	31.0, 58.0, 114.0, 1495.0, 1612.0, 2909.0, 4482.0, 4645.0, 4647.0, 4703.0, 5074.0, 6525.0, 6622.0, 6840.0, 7168.0, 8826.0, 9696.0, 10095.0, 10109.0, 10360.0, 11078.0, 11170.0, 22885.0, 23075.0, 23603.0, 50853.0, 51778.0, 55607.0, 55742.0, 64005.0, 64780.0, 79026.0, 79834.0, 80179.0, 93587.0	1.6282287967073747	Caudate	All
GO:0032991	CC	e	protein-containing complex	75/2249	643/29107	0.0004162468702078278	1	75	0.02353808914433297	330.0, 367.0, 613.0, 821.0, 842.0, 1399.0, 1499.0, 2752.0, 2962.0, 3148.0, 3690.0, 4057.0, 4193.0, 4645.0, 5023.0, 5175.0, 5950.0, 5999.0, 6122.0, 6134.0, 6201.0, 6262.0, 6342.0, 6599.0, 6622.0, 6642.0, 6772.0, 7019.0, 7520.0, 8293.0, 8345.0, 8350.0, 8352.0, 8359.0, 8363.0, 8365.0, 8366.0, 8367.0, 8519.0, 8826.0, 9135.0, 9325.0, 9827.0, 9863.0, 9941.0, 10010.0, 10036.0, 10220.0, 10410.0, 10613.0, 11190.0, 22844.0, 23214.0, 23770.0, 26136.0, 26504.0, 29899.0, 29979.0, 51025.0, 53339.0, 56893.0, 64127.0, 80741.0, 83547.0, 84106.0, 84274.0, 84952.0, 92960.0, 93974.0, 115703.0, 117178.0, 169166.0, 286204.0, 348180.0, 389362.0	1.6282287967073747	Caudate	All
GO:0030176	CC	e	integral component of endoplasmic reticulum membrane	21/2249	121/29107	0.0004314469725299901	5	21	0.02363520446390852	1388.0, 1717.0, 1798.0, 7095.0, 7466.0, 8818.0, 11001.0, 23204.0, 23770.0, 29927.0, 51000.0, 54499.0, 55831.0, 56851.0, 57222.0, 60481.0, 79993.0, 93380.0, 126129.0, 152002.0, 401494.0	1.6264406363412607	Caudate	All
GO:0005789	CC	e	endoplasmic reticulum membrane	105/2249	973/29107	0.0004848838168047619	4	105	0.02575761608662872	368.0, 537.0, 745.0, 821.0, 966.0, 1183.0, 1388.0, 1717.0, 1798.0, 2132.0, 2327.0, 2328.0, 2329.0, 2475.0, 2861.0, 3140.0, 3293.0, 3429.0, 3460.0, 3838.0, 4047.0, 4257.0, 4599.0, 4779.0, 4948.0, 5130.0, 5281.0, 5283.0, 5742.0, 6646.0, 6717.0, 6836.0, 7466.0, 8605.0, 8760.0, 8818.0, 9091.0, 9117.0, 10130.0, 10175.0, 10483.0, 10490.0, 10558.0, 10613.0, 10901.0, 10956.0, 11001.0, 22931.0, 23169.0, 23204.0, 23256.0, 23463.0, 26002.0, 27230.0, 29800.0, 29927.0, 29940.0, 29954.0, 50640.0, 51075.0, 51167.0, 51201.0, 51226.0, 51246.0, 51257.0, 51465.0, 51594.0, 51703.0, 54511.0, 54867.0, 54982.0, 56246.0, 56605.0, 56704.0, 56893.0, 57535.0, 57834.0, 60481.0, 64285.0, 79022.0, 79053.0, 79054.0, 79087.0, 79844.0, 79868.0, 79947.0, 79993.0, 80235.0, 81671.0, 83440.0, 83787.0, 84650.0, 94005.0, 94101.0, 112609.0, 145447.0, 147138.0, 148229.0, 151742.0, 195814.0, 197021.0, 204219.0, 253558.0, 286144.0, 408050.0	1.5890943341822326	Caudate	All
GO:0005938	CC	e	cell cortex	24/2249	149/29107	0.0005501176336238689	3	24	0.02836341799243065	631.0, 1499.0, 1639.0, 2017.0, 2059.0, 2246.0, 2868.0, 2917.0, 4647.0, 5747.0, 5829.0, 6622.0, 7186.0, 8605.0, 9478.0, 22844.0, 23221.0, 23332.0, 23603.0, 29899.0, 57595.0, 83872.0, 83992.0, 642273.0	1.5472414347792758	Caudate	All
GO:0044754	CC	e	autolysosome	5/2249	11/29107	0.0008523925231209279	9	5	0.0426926883723139	2495.0, 2512.0, 5289.0, 8031.0, 8878.0	1.3696464966718063	Caudate	All
GO:0009925	CC	e	basal plasma membrane	11/2249	48/29107	0.0008905175911791424	4	11	0.04336325937047324	358.0, 362.0, 947.0, 975.0, 2065.0, 4233.0, 6507.0, 6520.0, 6536.0, 7439.0, 200958.0	1.3628780817876789	Caudate	All
GO:0005911	CC	e	cell-cell junction	27/2249	180/29107	0.001027817177519384	4	27	0.04869631114031026	1000.0, 1003.0, 1308.0, 1495.0, 1499.0, 1824.0, 1828.0, 2195.0, 2264.0, 2885.0, 3690.0, 3702.0, 4804.0, 4868.0, 5097.0, 5175.0, 5795.0, 5797.0, 5829.0, 5908.0, 8631.0, 9578.0, 9863.0, 10806.0, 54532.0, 79778.0, 84063.0	1.3125039363641298	Caudate	All
GO:0002181	BP	e	cytoplasmic translation	19/1190	85/29107	3.039939125345562e-07	8	19	0.003778340338891999	4736.0, 6122.0, 6130.0, 6132.0, 6133.0, 6155.0, 6158.0, 6167.0, 6188.0, 6191.0, 6201.0, 6203.0, 6207.0, 6218.0, 6222.0, 6223.0, 6231.0, 9045.0, 23521.0	2.4226989250151365	Caudate	AA
GO:0022626	CC	e	cytosolic ribosome	18/1190	76/29107	3.727441464681205e-07	6	18	0.0006449549503359769	4736.0, 6122.0, 6130.0, 6132.0, 6133.0, 6155.0, 6158.0, 6167.0, 6188.0, 6191.0, 6201.0, 6203.0, 6207.0, 6218.0, 6222.0, 6223.0, 9045.0, 23521.0	3.190470619479113	Caudate	AA
GO:0005840	CC	e	ribosome	13/1190	51/29107	7.475915809185716e-07	5	13	0.0006449549503359769	821.0, 6133.0, 6155.0, 6188.0, 6191.0, 6201.0, 6203.0, 6207.0, 6218.0, 6222.0, 6223.0, 23521.0, 27230.0	3.190470619479113	Caudate	AA
GO:0045296	MF	e	cadherin binding	35/1190	315/29107	8.495437792445372e-07	4	35	0.001333322794776442	831.0, 1000.0, 1003.0, 1399.0, 1499.0, 1968.0, 1982.0, 2010.0, 3069.0, 3655.0, 3688.0, 3799.0, 5795.0, 5800.0, 5861.0, 6130.0, 6231.0, 6520.0, 6772.0, 8350.0, 8352.0, 8826.0, 9045.0, 9748.0, 10652.0, 23075.0, 26136.0, 26156.0, 27044.0, 55357.0, 55742.0, 55833.0, 64072.0, 79180.0, 128866.0	2.875064696033095	Caudate	AA
GO:0005525	MF	e	GTP binding	40/1190	373/29107	8.802972494700031e-07	8	40	0.001333322794776442	378.0, 1968.0, 2778.0, 2909.0, 2935.0, 4218.0, 4599.0, 4600.0, 4881.0, 4882.0, 5861.0, 5865.0, 5878.0, 5899.0, 5908.0, 7052.0, 7280.0, 7818.0, 8790.0, 9077.0, 9364.0, 9927.0, 10981.0, 11031.0, 22808.0, 22931.0, 23433.0, 50808.0, 51762.0, 54974.0, 54988.0, 55303.0, 57826.0, 64121.0, 64901.0, 84340.0, 84617.0, 84790.0, 161253.0, 387496.0	2.875064696033095	Caudate	AA
GO:0003735	MF	e	structural constituent of ribosome	22/1190	163/29107	9.049702226989425e-07	2	22	0.001333322794776442	4736.0, 6122.0, 6130.0, 6132.0, 6133.0, 6150.0, 6155.0, 6158.0, 6167.0, 6188.0, 6191.0, 6201.0, 6203.0, 6207.0, 6218.0, 6222.0, 6223.0, 6231.0, 7818.0, 9045.0, 23521.0, 57129.0	2.875064696033095	Caudate	AA
GO:0001938	BP	e	positive regulation of endothelial cell proliferation	14/1190	72/29107	1.09872171461498e-06	7	14	0.006103512683857143	650.0, 2277.0, 2475.0, 3148.0, 3690.0, 5578.0, 6387.0, 7060.0, 7423.0, 8828.0, 10000.0, 25865.0, 55109.0, 56005.0	2.214420148572242	Caudate	AA
GO:0005925	CC	e	focal adhesion	58/1190	418/29107	1.103744923564136e-06	5	58	0.0006449549503359769	567.0, 824.0, 966.0, 975.0, 976.0, 1000.0, 1499.0, 2037.0, 2195.0, 2665.0, 3339.0, 3655.0, 3688.0, 3690.0, 4736.0, 4988.0, 5747.0, 5786.0, 5817.0, 5829.0, 6122.0, 6130.0, 6132.0, 6133.0, 6155.0, 6188.0, 6191.0, 6201.0, 6203.0, 6207.0, 6218.0, 6222.0, 6223.0, 6840.0, 7052.0, 7525.0, 8462.0, 8516.0, 8675.0, 8754.0, 8826.0, 9902.0, 10015.0, 10095.0, 11078.0, 11170.0, 11261.0, 23332.0, 23521.0, 23603.0, 26136.0, 26986.0, 29843.0, 54914.0, 55740.0, 55742.0, 55901.0, 57514.0	3.190470619479113	Caudate	AA
GO:0006412	BP	e	translation	24/1190	195/29107	1.597443877935186e-06	7	24	0.006103512683857143	1981.0, 2935.0, 4736.0, 6122.0, 6130.0, 6132.0, 6133.0, 6150.0, 6155.0, 6158.0, 6167.0, 6188.0, 6191.0, 6201.0, 6203.0, 6207.0, 6218.0, 6222.0, 6223.0, 6231.0, 9045.0, 23521.0, 113251.0, 100132147.0	2.214420148572242	Caudate	AA
GO:0035195	BP	p	gene silencing by miRNA	1/1190	557/29107	2.197443154695938e-06	10	1	0.006103512683857143	3692.0	2.214420148572242	Caudate	AA
GO:0004984	MF	p	olfactory receptor activity	0/1190	399/29107	2.348363340693844e-06	4	0	0.002159712497720775		2.665604058554531	Caudate	AA
GO:0050911	BP	p	detection of chemical stimulus involved in sensory perception of smell	0/1190	401/29107	2.455351469891843e-06	5	0	0.006103512683857143		2.214420148572242	Caudate	AA
