trait	candidate_genes	dataset
Effector Memory CD4-CD8- T cell %CD4-CD8- T cell	ZFAT	Orru_2020
Effector Memory CD4-CD8- T cell %CD4-CD8- T cell	GALM	Orru_2020
Effector Memory CD4-CD8- T cell %T cell	CD8A	Orru_2020
Effector Memory CD4-CD8- T cell %T cell	TSTD3	Orru_2020
Terminally Differentiated CD4-CD8- T cell Absolute Count	GALM	Orru_2020
Terminally Differentiated CD4-CD8- T cell %CD4-CD8- T cell	GALM	Orru_2020
Terminally Differentiated CD4-CD8- T cell %T cell	CD8A	Orru_2020
Terminally Differentiated CD4-CD8- T cell %T cell	GALM	Orru_2020
Naive CD4+ T cell %T cell	UBE2G1	Orru_2020
Transitional B cell Absolute Count	EBF1	Orru_2020
CD28- CD4-CD8- T cell %CD4-CD8- T cell	SLFN12L	Orru_2020
CD28- CD4-CD8- T cell Absolute Count	CD8B	Orru_2020
CD28- CD4-CD8- T cell Absolute Count	SLFN12L	Orru_2020
CD28+ CD4-CD8- T cell %CD4-CD8- T cell	SLFN12L	Orru_2020
CD39+ CD4+ T cell %T cell	ENTPD1	Orru_2020
CD39+ CD4+ T cell %T cell	ALDH18A1	Orru_2020
CD39+ CD4+ T cell %CD4+ T cell	ENTPD1	Orru_2020
CD39+ CD4+ T cell %CD4+ T cell	ALDH18A1	Orru_2020
CD39+ CD4+ T cell Absolute Count	ENTPD1	Orru_2020
CD28- CD8dim T cell %T cell	ACOXL	Orru_2020
CD28- CD8dim T cell %T cell	SLFN12L	Orru_2020
CD28- CD8dim T cell %T cell	TSTD3	Orru_2020
CD25++ CD4+ T cell %CD4+ T cell	IL2RA	Orru_2020
CD25++ CD4+ T cell %T cell	TSTD3	Orru_2020
CD25++ CD4+ T cell %T cell	IL2RA	Orru_2020
CD25++ CD45RA+ CD4 not regulatory T cell Absolute Count	CYP4F3	Orru_2020
CD25++ CD45RA+ CD4 not regulatory T cell Absolute Count	GALM	Orru_2020
CD25++ CD45RA+ CD4 not regulatory T cell Absolute Count	HNRNPLL	Orru_2020
CD25++ CD45RA+ CD4 not regulatory T cell Absolute Count	GALM	Orru_2020
CD25++ CD45RA+ CD4 not regulatory T cell %CD4+ T cell	HNRNPLL	Orru_2020
CD25++ CD45RA+ CD4 not regulatory T cell %CD4+ T cell	GALM	Orru_2020
CD25++ CD45RA+ CD4 not regulatory T cell %CD4+ T cell	GALM	Orru_2020
CD25++ CD45RA+ CD4 not regulatory T cell %T cell	GALM	Orru_2020
CD25++ CD45RA+ CD4 not regulatory T cell %T cell	HNRNPLL	Orru_2020
CD25++ CD45RA+ CD4 not regulatory T cell %T cell	GALM	Orru_2020
CD25++ CD45RA- CD4 not regulatory T cell Absolute Count	TSTD3	Orru_2020
CD25++ CD45RA- CD4 not regulatory T cell Absolute Count	IL2RA	Orru_2020
CD25++ CD45RA- CD4 not regulatory T cell %CD4+ T cell	IL2RA	Orru_2020
CD25++ CD45RA- CD4 not regulatory T cell %T cell	TSTD3	Orru_2020
CD25++ CD45RA- CD4 not regulatory T cell %T cell	IL2RA	Orru_2020
CD45RA- CD4+ T cell Absolute Count	ATXN2	Orru_2020
CD45RA- CD4+ T cell %CD4+ T cell	GALM	Orru_2020
CD45RA- CD4+ T cell %T cell	TSTD3	Orru_2020
CD45RA- CD4+ T cell %T cell	GALM	Orru_2020
CD25++ CD8+ T cell %T cell	IL2RA	Orru_2020
CD25++ CD8+ T cell %T cell	EML6	Orru_2020
CD25++ CD8+ T cell %CD8+ T cell	EML6	Orru_2020
CD25++ CD8+ T cell Absolute Count	ROBO2	Orru_2020
CD25++ CD8+ T cell Absolute Count	EML6	Orru_2020
CD25++ CD8+ T cell Absolute Count	KLHL14	Orru_2020
CD28- CD8+ T cell %T cell	LINC01149	Orru_2020
CD28- CD8+ T cell %CD8+ T cell	PART1	Orru_2020
CD28- CD8+ T cell %CD8+ T cell	SLFN12L	Orru_2020
CD28- CD8+ T cell Absolute Count	SLFN12L	Orru_2020
CD28+ CD45RA+ CD8+ T cell %T cell	PSMB11	Orru_2020
CD28+ CD45RA+ CD8+ T cell %T cell	GALM	Orru_2020
CD28+ CD45RA+ CD8+ T cell Absolute Count	FGF13	Orru_2020
CD28+ CD45RA+ CD8+ T cell Absolute Count	GALM	Orru_2020
CD28+ CD45RA- CD8+ T cell %CD8+ T cell	HLA-B	Orru_2020
CD19 on unswitched memory B cell	CR2	Orru_2020
CD19 on switched memory B cell	ATP2A1	Orru_2020
CD19 on switched memory B cell	CR2	Orru_2020
CD19 on IgD+ B cell	CR2	Orru_2020
CD19 on transitional B cell	CR2	Orru_2020
CD20 on B cell	MS4A12	Orru_2020
CD20 on CD24+ CD27+ B cell	MS4A14	Orru_2020
CD20 on CD24+ CD27+ B cell	DKKL1	Orru_2020
CD20 on IgD+ CD24+ B cell	DKKL1	Orru_2020
CD20 on IgD+ CD24- B cell	MS4A12	Orru_2020
CD20 on IgD+ CD38- B cell	PAX5	Orru_2020
CD33+ HLA DR+ CD14- %CD33+ HLA DR+	CD33	Orru_2020
CD33+ HLA DR+ CD14dim Absolute Count	MIR3976HG	Orru_2020
CD33+ HLA DR+ CD14dim %CD33+ HLA DR+	MCC	Orru_2020
CD33- HLA DR- Absolute Count	SLFN12L	Orru_2020
CD33dim HLA DR+ CD11b+ Absolute Count	FCGR2A	Orru_2020
CD33dim HLA DR+ CD11b+ %CD33dim HLA DR+	BCL2A1	Orru_2020
CD33dim HLA DR+ CD11b+ %CD33dim HLA DR+	FCGR2A	Orru_2020
CD33dim HLA DR+ CD11b- Absolute Count	ZFHX3	Orru_2020
CD33dim HLA DR+ CD11b- Absolute Count	BCL2A1	Orru_2020
CD33dim HLA DR+ CD11b- %CD33dim HLA DR+	BCL2A1	Orru_2020
CD33dim HLA DR+ CD11b- %CD33dim HLA DR+	FCGR2A	Orru_2020
Monocytic Myeloid-Derived Suppressor Cells Absolute Count	CD33	Orru_2020
CD33dim HLA DR- Absolute Count	CD33	Orru_2020
BAFF-R on CD20- CD38- B cell	MIEF1	Orru_2020
CD28- CD8dim T cell %CD8dim T cell	SLFN12L	Orru_2020
CD28- CD8dim T cell Absolute Count	ACOXL	Orru_2020
CD28- CD8dim T cell Absolute Count	SLFN12L	Orru_2020
CD28- CD8dim T cell Absolute Count	TSTD3	Orru_2020
CD28+ CD45RA+ CD8dim T cell %T cell	CD8B	Orru_2020
CD28+ CD45RA+ CD8dim T cell %T cell	GALM	Orru_2020
CD28+ CD45RA+ CD8dim T cell %CD8dim T cell	TSTD3	Orru_2020
CD28+ CD45RA+ CD8dim T cell %CD8dim T cell	GALM	Orru_2020
CD28+ CD45RA+ CD8dim T cell Absolute Count	CD8B	Orru_2020
CD28+ CD45RA+ CD8dim T cell Absolute Count	GALM	Orru_2020
CD39+ CD8+ T cell %T cell	ENTPD1	Orru_2020
CD39+ CD8+ T cell %T cell	ALDH18A1	Orru_2020
CD39+ CD8+ T cell %CD8+ T cell	ENTPD1	Orru_2020
CD39+ CD8+ T cell %CD8+ T cell	ALDH18A1	Orru_2020
CD39+ CD8+ T cell Absolute Count	ENTPD1	Orru_2020
CD39+ CD8+ T cell Absolute Count	ALDH18A1	Orru_2020
CD28- CD4-CD8- T cell %T cell	SLFN12L	Orru_2020
CD28- CD4-CD8- T cell %T cell	TSTD3	Orru_2020
CD28- CD4-CD8- T cell %T cell	CD8A	Orru_2020
CD14- CD16- Absolute Count	CDK6	Orru_2020
CD14- CD16- Absolute Count	LYZ	Orru_2020
CD14+ CD16- monocyte Absolute Count	CDK6	Orru_2020
CD14+ CD16- monocyte Absolute Count	ITGA4	Orru_2020
CD14- CD16+ monocyte %monocyte	BCL2A1	Orru_2020
Immature Myeloid-Derived Suppressor Cells Absolute Count	CD33	Orru_2020
Immature Myeloid-Derived Suppressor Cells %CD33dim HLA DR- CD66b-	HOXD11	Orru_2020
Immature Myeloid-Derived Suppressor Cells %CD33dim HLA DR- CD66b-	CD33	Orru_2020
CD19 on CD20- CD38- B cell	KASH5	Orru_2020
CD19 on CD24+ CD27+ B cell	CR2	Orru_2020
CD19 on IgD+ CD24+ B cell	RRN3P2	Orru_2020
CD19 on IgD+ CD24+ B cell	CR2	Orru_2020
CD19 on IgD+ CD24- B cell	CR2	Orru_2020
CD19 on IgD+ CD38- B cell	CR2	Orru_2020
CD19 on IgD+ CD38+ B cell	FHIT	Orru_2020
CD19 on IgD+ CD38+ B cell	CR2	Orru_2020
CD19 on IgD+ CD38dim B cell	CR2	Orru_2020
CD19 on IgD- CD38dim B cell	CR2	Orru_2020
CD19 on memory B cell	CR2	Orru_2020
CD19 on naive-mature B cell	RBBP5	Orru_2020
CD19 on naive-mature B cell	CR2	Orru_2020
CD19 on unswitched memory B cell	RRN3P2	Orru_2020
BAFF-R on IgD+ CD24- B cell	FCGR2A	Orru_2020
BAFF-R on IgD+ CD38+ B cell	FCGR2A	Orru_2020
BAFF-R on IgD+ CD38dim B cell	FCGR2A	Orru_2020
BAFF-R on IgD- CD24- B cell	FCGR2A	Orru_2020
BAFF-R on IgD- CD27- B cell	FCGR2A	Orru_2020
BAFF-R on IgD- CD38dim B cell	FCGR2A	Orru_2020
BAFF-R on naive-mature B cell	FCGR2A	Orru_2020
BAFF-R on switched memory B cell	FCGR2A	Orru_2020
BAFF-R on IgD+ B cell	FCGR2A	Orru_2020
CCR2 on monocyte	FCGR2A	Orru_2020
CCR2 on monocyte	CCR3	Orru_2020
CCR2 on granulocyte	CDK6	Orru_2020
CD14 on CD33dim HLA DR+ CD11b+	FCGR2A	Orru_2020
CD4 on CD4+ T cell	ATXN2	Orru_2020
CD4 on CD4+ T cell	CD4	Orru_2020
CD4 on Central Memory CD4+ T cell	CD4	Orru_2020
CD4 on naive CD4+ T cell	ATXN2	Orru_2020
CD4 on naive CD4+ T cell	CD4	Orru_2020
CD4 on Effector Memory CD4+ T cell	HLA-DQA1	Orru_2020
CD4 on Effector Memory CD4+ T cell	CD4	Orru_2020
CD4 on CD45RA+ CD4+ T cell	CD4	Orru_2020
CD19 on B cell	RABEP2	Orru_2020
CD39 on CD39+ CD8+ T cell	ENTPD1-AS1	Orru_2020
CD39 on CD39+ activated CD4 regulatory T cell	ENTPD1	Orru_2020
CD39 on CD39+ activated CD4 regulatory T cell	ENTPD1-AS1	Orru_2020
CD39 on CD39+ activated CD4 regulatory T cell	ENTPD1	Orru_2020
CX3CR1 on CD14+ CD16+ monocyte	FCGR2A	Orru_2020
CX3CR1 on CD14+ CD16- monocyte	FCGR2A	Orru_2020
PDL-1 on CD14+ CD16+ monocyte	FCGR2A	Orru_2020
PDL-1 on CD14- CD16-	LYZ	Orru_2020
PDL-1 on monocyte	KMT2C	Orru_2020
PDL-1 on monocyte	FCGR2A	Orru_2020
CCR2 on CD14- CD16-	LYZ	Orru_2020
CCR2 on CD14+ CD16- monocyte	CDCP1	Orru_2020
CCR2 on CD14+ CD16- monocyte	CCR3	Orru_2020
CD64 on monocyte	TOX	Orru_2020
CD64 on monocyte	HYDIN	Orru_2020
CD64 on monocyte	FCGR2A	Orru_2020
CCR2 on monocyte	CCR3	Orru_2020
HLA DR on CD14- CD16-	HLA-DRB5	Orru_2020
HLA DR on monocyte	LYZ	Orru_2020
CD64 on CD14+ CD16+ monocyte	HYDIN	Orru_2020
CD64 on CD14+ CD16+ monocyte	FCGR2A	Orru_2020
CX3CR1 on CD14- CD16+ monocyte	PELATON	Orru_2020
CX3CR1 on CD14- CD16+ monocyte	FCGR2A	Orru_2020
CCR2 on myeloid Dendritic Cell	FCGR3A	Orru_2020
CCR2 on CD62L+ myeloid Dendritic Cell	CCR3	Orru_2020
CCR2 on plasmacytoid Dendritic Cell	GPR146	Orru_2020
CCR2 on plasmacytoid Dendritic Cell	CCR2	Orru_2020
CCR2 on CD62L+ plasmacytoid Dendritic Cell	GPR146	Orru_2020
CCR2 on CD62L+ plasmacytoid Dendritic Cell	CCR2	Orru_2020
CCR2 on monocyte	LIMD1	Orru_2020
CD39 on CD39+ secreting CD4 regulatory T cell	ENTPD1	Orru_2020
CD39 on CD39+ secreting CD4 regulatory T cell	ENTPD1-AS1	Orru_2020
CD39 on CD39+ CD4+ T cell	ENTPD1	Orru_2020
CD39 on CD39+ CD4+ T cell	ENTPD1-AS1	Orru_2020
CD39 on CD39+ CD4+ T cell	ENTPD1-AS1	Orru_2020
CD39 on granulocyte	CDK6	Orru_2020
CD80 on myeloid Dendritic Cell	BACH2	Orru_2020
CD80 on myeloid Dendritic Cell	RPAP2	Orru_2020
CD80 on CD62L+ myeloid Dendritic Cell	BACH2	Orru_2020
CD80 on CD62L+ myeloid Dendritic Cell	RPAP2	Orru_2020
CD80 on CD62L+ myeloid Dendritic Cell	NISCH	Orru_2020
CD80 on monocyte	NEK4	Orru_2020
CD80 on monocyte	RPAP2	Orru_2020
CD45 on CD33- HLA DR+	HNRNPA1P48	Orru_2020
CD45 on CD33- HLA DR+	SIGLECL1	Orru_2020
CD45 on CD33- HLA DR+	CD33	Orru_2020
CD45 on CD33dim HLA DR-	ELOVL6	Orru_2020
CD45 on Immature Myeloid-Derived Suppressor Cells	CD33	Orru_2020
CD45 on Immature Myeloid-Derived Suppressor Cells	CD33	Orru_2020
CD8 on Central Memory CD8+ T cell	CD8B	Orru_2020
CD8 on Central Memory CD8+ T cell	HLA-B	Orru_2020
CD8 on Central Memory CD8+ T cell	CD8A	Orru_2020
CD8 on naive CD8+ T cell	HLA-B	Orru_2020
CD8 on naive CD8+ T cell	CD8A	Orru_2020
CD8 on Effector Memory CD8+ T cell	CD8A	Orru_2020
CD8 on CD8+ T cell	CD8B	Orru_2020
CD8 on CD8+ T cell	HLA-C	Orru_2020
CD8 on CD8+ T cell	CD8A	Orru_2020
CD8 on Natural Killer T	CD8A	Orru_2020
CD8 on HLA DR+ CD8+ T cell	CD8A	Orru_2020
CD4 on CD39+ CD4+ T cell	TCTN3	Orru_2020
CD4 on CD39+ CD4+ T cell	ENTPD1	Orru_2020
CD4 on CD28+ CD4+ T cell	CD4	Orru_2020
CD4 on CD4 regulatory T cell	CD4	Orru_2020
CD4 on resting CD4 regulatory T cell	CD4	Orru_2020
CD4 on activated CD4 regulatory T cell	CD4	Orru_2020
CD4 on CD39+ activated CD4 regulatory T cell	CD4	Orru_2020
CD4 on secreting CD4 regulatory T cell	CD4	Orru_2020
CD4 on CD39+ secreting CD4 regulatory T cell	ENTPD1	Orru_2020
CD4 on activated & secreting CD4 regulatory T cell	CD4	Orru_2020
SSC-A on myeloid Dendritic Cell	LYZ	Orru_2020
SSC-A on myeloid Dendritic Cell	HBB	Orru_2020
SSC-A on myeloid Dendritic Cell	FAM117B	Orru_2020
SSC-A on plasmacytoid Dendritic Cell	ERN1	Orru_2020
SSC-A on plasmacytoid Dendritic Cell	HBB	Orru_2020
SSC-A on monocyte	PLEC	Orru_2020
SSC-A on monocyte	CDK6	Orru_2020
SSC-A on monocyte	IFI30	Orru_2020
SSC-A on monocyte	LYZ	Orru_2020
SSC-A on CD14+ monocyte	CDK6	Orru_2020
SSC-A on CD14+ monocyte	IFI30	Orru_2020
SSC-A on CD14+ monocyte	LYZ	Orru_2020
SSC-A on B cell	HBB	Orru_2020
SSC-A on Natural Killer	FAM53B	Orru_2020
SSC-A on granulocyte	RASSF1	Orru_2020
SSC-A on granulocyte	CDK6	Orru_2020
SSC-A on granulocyte	DEFA10P	Orru_2020
SSC-A on granulocyte	CDK6	Orru_2020
SSC-A on lymphocyte	TTC28	Orru_2020
SSC-A on T cell	MFSD4A	Orru_2020
SSC-A on T cell	TTC28	Orru_2020
SSC-A on HLA DR+ T cell	CIITA	Orru_2020
CD20 on IgD- CD38dim B cell	MS4A1	Orru_2020
CD20 on IgD- CD38dim B cell	VARS1	Orru_2020
CD20 on IgD- CD38dim B cell	DKKL1	Orru_2020
CD20 on memory B cell	MB	Orru_2020
CD20 on memory B cell	MS4A1	Orru_2020
CD20 on memory B cell	TEAD2	Orru_2020
CD20 on naive-mature B cell	SUGCT	Orru_2020
CD20 on naive-mature B cell	MS4A12	Orru_2020
CD20 on unswitched memory B cell	TEAD2	Orru_2020
CD20 on switched memory B cell	VWA7	Orru_2020
CD20 on switched memory B cell	MS4A14	Orru_2020
CD20 on switched memory B cell	DKKL1	Orru_2020
CD40 on monocytes	FCGR2A	Orru_2020
CD40 on monocytes	CD40	Orru_2020
CD64 on CD14+ CD16- monocyte	TOX	Orru_2020
CD64 on CD14+ CD16- monocyte	HYDIN	Orru_2020
CD64 on CD14+ CD16- monocyte	FCGR2A	Orru_2020
HLA DR on CD14+ CD16- monocyte	LYZ	Orru_2020
CD40 on CD14- CD16+ monocyte	FCGR2A	Orru_2020
CD40 on CD14- CD16+ monocyte	CD40	Orru_2020
HLA DR on CD14+ monocyte	LYZ	Orru_2020
CX3CR1 on monocyte	FCGR2A	Orru_2020
CD28 on CD39+ resting CD4 regulatory T cell	ENTPD1-AS1	Orru_2020
CD86 on granulocyte	CDK6	Orru_2020
CCR7 on naive CD4+ T cell	LINC00343	Orru_2020
CCR7 on naive CD4+ T cell	PGAP6	Orru_2020
CCR7 on naive CD4+ T cell	CCR7	Orru_2020
CD40 on CD14+ CD16- monocyte	NINJ1	Orru_2020
CD40 on CD14+ CD16- monocyte	FCGR2A	Orru_2020
CD40 on CD14+ CD16- monocyte	CD40	Orru_2020
CD40 on CD14+ CD16+ monocyte	FCGR2A	Orru_2020
CD40 on CD14+ CD16+ monocyte	CD40	Orru_2020
CD14 on CD14+ CD16+ monocyte	FCGR2A	Orru_2020
HLA DR on CD14- CD16+ monocyte	LPP	Orru_2020
HLA DR on CD14- CD16+ monocyte	CIITA	Orru_2020
CD40 on monocytes	ATE1	Orru_2020
CD40 on monocytes	CDKL5	Orru_2020
HVEM on Terminally Differentiated CD4+ T cell	TNFRSF14-AS1	Orru_2020
HVEM on CD45RA- CD4+ T cell	TNFRSF14	Orru_2020
HVEM on CD8+ T cell	TNFRSF14	Orru_2020
HVEM on Central Memory CD8+ T cell	TNFRSF14	Orru_2020
CD16-CD56 on Natural Killer T	NCAM1	Orru_2020
CD16-CD56 on Natural Killer T	TSTD3	Orru_2020
CD16-CD56 on Natural Killer	NCAM1	Orru_2020
CD28 on CD39+ activated CD4 regulatory T cell	ENTPD1-AS1	Orru_2020
CD28 on CD39+ activated CD4 regulatory T cell	CD28	Orru_2020
CD28 on secreting CD4 regulatory T cell	HNRNPLL	Orru_2020
CD28 on CD39+ secreting CD4 regulatory T cell	ENTPD1	Orru_2020
CD28 on CD39+ secreting CD4 regulatory T cell	ENTPD1	Orru_2020
CD28 on CD45RA+ CD4+ T cell	BACH2	Orru_2020
CD28 on CD45RA- CD4 not regulatory T cell	CD28	Orru_2020
CD28 on CD39+ CD4+ T cell	ALDH18A1	Orru_2020
CD28 on CD39+ CD4+ T cell	ENTPD1	Orru_2020
CD28 on CD28+ CD45RA- CD8+ T cell	KRT18P39	Orru_2020
CD28 on CD28+ CD4+ T cell	CD28	Orru_2020
CD28 on CD28+ CD4+ T cell	BACH2	Orru_2020
CD28 on CD28+ CD4-CD8- T cell	TSTD3	Orru_2020
CD28 on CD28+ CD45RA+ CD8+ T cell	BACH2	Orru_2020
CD28 on CD28+ CD45RA+ CD8+ T cell	BACH2	Orru_2020
CD28 on CD39+ CD8+ T cell	CD28	Orru_2020
CD28 on CD39+ CD8+ T cell	ENTPD1-AS1	Orru_2020
CD28 on CD4+ T cell	CD28	Orru_2020
CD28 on CD4+ T cell	BACH2	Orru_2020
CD28 on CD4 regulatory T cell	CD28	Orru_2020
CD28 on resting CD4 regulatory T cell	BACH2	Orru_2020
CD28 on resting CD4 regulatory T cell	BACH2	Orru_2020
IgD on unswitched memory B cell	IGHD	Orru_2020
IgD on IgD+ B cell	CCDC32	Orru_2020
IgD on IgD+ B cell	IGHD	Orru_2020
IgD on transitional B cell	SNX8	Orru_2020
IgD on transitional B cell	IGHD	Orru_2020
BAFF-R on B cell	FCGR2A	Orru_2020
BAFF-R on CD20- B cell	GADL1	Orru_2020
BAFF-R on CD20- B cell	TNFRSF13C	Orru_2020
CD62L on CD62L+ myeloid Dendritic Cell	C1orf112	Orru_2020
CD62L on CD62L+ myeloid Dendritic Cell	C1orf112	Orru_2020
CD62L on CD62L+ plasmacytoid Dendritic Cell	SELP	Orru_2020
CD62L on CD62L+ plasmacytoid Dendritic Cell	C1orf112	Orru_2020
CD62L on CD62L+ Dendritic Cell	C1orf112	Orru_2020
CD62L on monocyte	SELP	Orru_2020
CD62L on monocyte	C1orf112	Orru_2020
CD62L on monocyte	SELL	Orru_2020
CD3 on naive CD8+ T cell	PGAP6	Orru_2020
CD3 on naive CD8+ T cell	CD247	Orru_2020
CD20 on IgD+ CD38- B cell	MS4A1	Orru_2020
CD20 on IgD+ CD38- B cell	TEAD2	Orru_2020
CD20 on IgD+ CD38+ B cell	KASH5	Orru_2020
CD20 on IgD+ CD38+ B cell	MS4A12	Orru_2020
CD20 on IgD+ CD38dim B cell	CIITA	Orru_2020
CD20 on IgD+ CD38dim B cell	MS4A12	Orru_2020
CD20 on IgD- CD24- B cell	HLA-DQB1	Orru_2020
CD20 on IgD- CD24- B cell	TEAD2	Orru_2020
CD20 on IgD- CD27- B cell	TEAD2	Orru_2020
CD20 on IgD- CD27- B cell	CD40	Orru_2020
CD20 on IgD- CD38- B cell	VWA7	Orru_2020
CD20 on IgD- CD38- B cell	MS4A14	Orru_2020
CD20 on IgD- CD38- B cell	DKKL1	Orru_2020
CD3 on CD4 regulatory T cell	CXCR5	Orru_2020
CD3 on CD4 regulatory T cell	CD247	Orru_2020
CD3 on CD4 regulatory T cell	CD247	Orru_2020
CD3 on CD4 regulatory T cell	CD247	Orru_2020
CD3 on resting CD4 regulatory T cell	CD247	Orru_2020
CD3 on resting CD4 regulatory T cell	CD247	Orru_2020
CD3 on resting CD4 regulatory T cell	CD247	Orru_2020
CD3 on resting CD4 regulatory T cell	CXCR5	Orru_2020
CD3 on resting CD4 regulatory T cell	CD247	Orru_2020
CD3 on resting CD4 regulatory T cell	CD247	Orru_2020
CD34 on Hematopoietic Stem Cell	ATP8B4	Orru_2020
CD34 on Hematopoietic Stem Cell	CCDC162P	Orru_2020
HVEM on T cell	TNFRSF14	Orru_2020
HVEM on Effector Memory CD8+ T cell	TNFRSF14	Orru_2020
HVEM on CD4+ T cell	TNFRSF14	Orru_2020
HVEM on Central Memory CD4+ T cell	TNFRSF14	Orru_2020
CD3 on Terminally Differentiated CD4+ T cell	CD247	Orru_2020
CD3 on CD45RA- CD4+ T cell	CD247	Orru_2020
CD3 on CD45RA- CD4+ T cell	CD247	Orru_2020
CD3 on Central Memory CD8+ T cell	CD247	Orru_2020
CD3 on Central Memory CD8+ T cell	CD247	Orru_2020
CD3 on HLA DR+ T cell	CD247	Orru_2020
CD3 on HLA DR+ T cell	CD247	Orru_2020
CD3 on HLA DR+ T cell	CIITA	Orru_2020
CD3 on HLA DR+ T cell	CD247	Orru_2020
CD3 on Natural Killer T	TSTD3	Orru_2020
CD3 on HLA DR+ CD4+ T cell	ABLIM1	Orru_2020
CD3 on HLA DR+ CD4+ T cell	CD247	Orru_2020
CD3 on HLA DR+ CD8+ T cell	GPA33	Orru_2020
CD3 on HLA DR+ CD8+ T cell	CD247	Orru_2020
CD3 on CD39+ resting CD4 regulatory T cell	CD247	Orru_2020
CD3 on activated CD4 regulatory T cell	CXCR5	Orru_2020
CD3 on activated CD4 regulatory T cell	CD247	Orru_2020
CD3 on activated CD4 regulatory T cell	CREG1	Orru_2020
CD3 on activated CD4 regulatory T cell	CD247	Orru_2020
CD3 on activated CD4 regulatory T cell	CD247	Orru_2020
CD3 on CD39+ activated CD4 regulatory T cell	CREG1	Orru_2020
CD3 on CD39+ activated CD4 regulatory T cell	CD247	Orru_2020
CD3 on CD39+ activated CD4 regulatory T cell	ENTPD1	Orru_2020
CD3 on CD39+ activated CD4 regulatory T cell	CD247	Orru_2020
CD3 on secreting CD4 regulatory T cell	CD247	Orru_2020
CD3 on secreting CD4 regulatory T cell	CD247	Orru_2020
CD3 on secreting CD4 regulatory T cell	CD247	Orru_2020
CD3 on secreting CD4 regulatory T cell	CD247	Orru_2020
CD3 on CD39+ secreting CD4 regulatory T cell	CD247	Orru_2020
CD3 on CD39+ secreting CD4 regulatory T cell	CD247	Orru_2020
CD3 on activated & secreting CD4 regulatory T cell	CD247	Orru_2020
CD3 on activated & secreting CD4 regulatory T cell	CD247	Orru_2020
CD3 on activated & secreting CD4 regulatory T cell	CD247	Orru_2020
CD3 on activated & secreting CD4 regulatory T cell	CD247	Orru_2020
CD3 on activated & secreting CD4 regulatory T cell	CD247	Orru_2020
CD3 on CD45RA+ CD4+ T cell	PGAP6	Orru_2020
CD3 on CD45RA+ CD4+ T cell	CD247	Orru_2020
CD3 on CD45RA+ CD4+ T cell	CD247	Orru_2020
CD3 on CD45RA+ CD4+ T cell	CD247	Orru_2020
CD3 on CD45RA+ CD4+ T cell	LZTFL1	Orru_2020
CD3 on CD45RA+ CD4+ T cell	CXCR5	Orru_2020
CD3 on CD45RA+ CD4+ T cell	CD247	Orru_2020
CD3 on CD45RA+ CD4+ T cell	CD247	Orru_2020
CD3 on CD8+ T cell	CD247	Orru_2020
CD3 on CD8+ T cell	CD247	Orru_2020
CD3 on CD8+ T cell	CD247	Orru_2020
CD3 on CD8+ T cell	CD247	Orru_2020
CD3 on CD8+ T cell	CD247	Orru_2020
CD3 on CD8+ T cell	CD247	Orru_2020
CD3 on CD39+ CD4+ T cell	CD247	Orru_2020
CD3 on CD39+ CD4+ T cell	CD247	Orru_2020
CD3 on CD39+ CD4+ T cell	CD247	Orru_2020
CD3 on CD28+ CD4+ T cell	POU2F1	Orru_2020
CD3 on CD28+ CD4+ T cell	CD247	Orru_2020
CD3 on CD28+ CD45RA- CD8+ T cell	CD247	Orru_2020
CD3 on CD28+ CD45RA- CD8+ T cell	CD247	Orru_2020
CD3 on CD28+ CD45RA- CD8+ T cell	CD247	Orru_2020
CD3 on CD28+ CD45RA- CD8+ T cell	CD247	Orru_2020
CD3 on CD28+ CD45RA- CD8+ T cell	CD247	Orru_2020
CD3 on CD28+ CD45RA- CD8+ T cell	CD247	Orru_2020
CD3 on CD28+ CD45RA+ CD8+ T cell	CD247	Orru_2020
CD3 on CD28+ CD45RA+ CD8+ T cell	CD247	Orru_2020
CD3 on CD28+ CD45RA+ CD8+ T cell	CD247	Orru_2020
CD3 on CD28+ CD45RA+ CD8+ T cell	CD247	Orru_2020
CD3 on CD28+ CD45RA+ CD8+ T cell	CD247	Orru_2020
CD3 on CD28+ CD45RA+ CD8+ T cell	CD247	Orru_2020
CD3 on CD28- CD8+ T cell	PPP2R2C	Orru_2020
CD3 on CD28- CD8+ T cell	CD247	Orru_2020
CD3 on CD39+ CD8+ T cell	CD247	Orru_2020
CD3 on CD39+ CD8+ T cell	CD247	Orru_2020
CD3 on CD4+ T cell	POU2F1	Orru_2020
CD3 on CD4+ T cell	CD247	Orru_2020
CD3 on CD4 regulatory T cell	CD247	Orru_2020
CD3 on CD4 regulatory T cell	CD247	Orru_2020
HLA DR on HLA DR+ T cell	CIITA	Orru_2020
HLA DR on HLA DR+ CD4+ T cell	CIITA	Orru_2020
HLA DR on B cell	CIITA	Orru_2020
HLA DR on B cell	CIITA	Orru_2020
HLA DR on HLA DR+ Natural Killer	FCGR3A	Orru_2020
HLA DR on HLA DR+ Natural Killer	CIITA	Orru_2020
CD8 on CD28+ CD45RA- CD8+ T cell	CD8B	Orru_2020
CD8 on CD28+ CD45RA- CD8+ T cell	RMND5A	Orru_2020
CD8 on CD28+ CD45RA+ CD8+ T cell	RNF103-CHMP3	Orru_2020
CD8 on CD28+ CD45RA+ CD8+ T cell	CCHCR1	Orru_2020
